Date,PredictedRevenue,PredictedOrders
2027-11-21,559756,138
2027-11-22,168391,141
2027-11-23,200428,115
2027-11-24,419941,135
2027-11-25,690914,61
2027-11-26,541425,49
2027-11-27,84192,125
2027-11-28,444162,64
2027-11-29,106174,100
2027-11-30,584992,54
2027-12-01,506789,40
2027-12-02,613606,125
2027-12-03,597096,30
2027-12-04,593170,115
2027-12-05,195145,129
2027-12-06,140425,144
2027-12-07,534615,73
2027-12-08,163719,140
2027-12-09,318882,87
2027-12-10,668102,47
2027-12-11,665183,137
2027-12-12,653521,99
2027-12-13,137127,142
2027-12-14,517820,94
2027-12-15,632772,102
2027-12-16,611678,42
2027-12-17,604659,78
2027-12-18,641776,101
2027-12-19,246025,44
2027-12-20,547278,94
2027-12-21,601547,112
2027-12-22,547011,147
2027-12-23,181383,138
2027-12-24,187904,90
2027-12-25,466995,58
2027-12-26,674275,99
2027-12-27,563266,44
2027-12-28,250717,79
2027-12-29,202332,50
2027-12-30,273196,96
2027-12-31,617952,127
