CartID,CustomerID,ProductID,Quantity,AddedDate
89,1711,249,1,2025-09-17
90,681,93,2,2025-02-02
91,2306,93,2,2026-01-29
92,1520,142,3,2025-03-23
93,798,56,3,2026-03-03
94,2767,288,3,2025-02-14
95,257,165,1,2025-06-06
96,666,11,1,2025-05-13
97,1699,104,3,2025-08-06
98,1850,451,2,2025-12-22
99,1164,419,2,2025-08-22
100,483,451,2,2026-01-28
101,58,829,1,2026-01-01
102,1168,450,3,2025-07-21
103,2561,740,3,2026-04-24
104,2309,67,3,2025-12-21
105,2756,972,1,2025-01-03
106,261,316,2,2025-09-15
107,1509,148,1,2025-06-22
108,507,686,2,2025-07-20
109,615,861,1,2026-02-03
110,1899,335,2,2025-07-29
111,2937,410,1,2026-02-01
112,2091,279,3,2025-10-28
113,1367,303,2,2025-05-12
114,803,914,3,2025-04-22
115,2712,184,2,2025-07-06
116,2851,503,2,2026-04-08
117,2932,733,3,2026-04-21
118,1189,236,1,2026-04-20
119,859,462,1,2026-01-31
120,1398,139,3,2025-06-27
121,1610,581,3,2025-02-15
122,1696,980,1,2025-02-03
123,117,710,1,2025-12-05
124,2815,728,3,2025-05-18
125,345,185,1,2025-03-30
126,1667,31,3,2026-03-03
127,2655,538,1,2025-01-08
128,1955,230,1,2025-01-16
129,1418,440,1,2025-08-23
130,2717,314,3,2026-01-11
131,2503,400,3,2026-01-12
132,2801,147,3,2025-07-24
133,1845,259,3,2026-06-18
134,2916,79,3,2025-04-09
135,1199,430,2,2026-05-25
136,1314,960,2,2026-01-24
137,2249,399,2,2025-02-03
138,2103,108,2,2025-07-02
139,444,135,3,2025-04-28
140,638,453,1,2025-04-24
141,211,4,3,2026-03-12
142,1025,171,3,2025-06-06
143,206,958,1,2025-06-14
144,2678,16,3,2025-05-30
145,789,750,2,2025-04-03
146,112,104,3,2026-04-17
147,2208,489,3,2026-03-21
148,2140,943,1,2025-01-23
149,853,18,1,2025-10-04
150,1645,460,3,2026-05-18
151,2759,388,1,2025-02-13
152,286,26,3,2025-01-14
153,2334,617,2,2026-06-27
154,329,97,1,2026-02-04
155,483,267,1,2025-07-15
156,2196,678,1,2026-07-03
157,1595,48,1,2026-04-29
158,2821,27,2,2025-09-09
159,1708,776,1,2026-03-28
160,526,497,2,2025-07-15
161,1494,697,2,2025-04-28
162,2784,443,1,2025-12-08
163,1315,80,1,2026-06-11
164,2664,864,3,2026-05-14
165,901,949,3,2026-05-02
166,2626,126,2,2025-06-01
167,589,223,3,2025-07-15
168,672,490,2,2025-07-02
169,2672,467,1,2026-01-22
170,1869,545,3,2025-06-10
171,2171,114,1,2026-04-21
172,740,863,1,2025-08-26
173,943,437,3,2025-04-18
174,1759,895,3,2026-05-13
175,1214,2,2,2025-02-09
176,914,585,2,2025-06-22
177,804,21,2,2025-09-17
178,368,728,3,2026-02-16
179,2000,884,2,2026-07-02
180,1668,158,2,2025-12-25
181,1177,113,2,2026-05-26
182,1835,848,1,2025-05-19
183,1573,96,3,2025-08-16
184,1979,609,1,2025-06-16
185,2224,878,3,2025-06-06
186,1389,741,2,2026-02-23
187,1304,205,3,2025-07-15
188,2928,33,2,2025-08-23
189,2624,774,3,2025-01-06
190,2316,798,1,2025-02-14
191,276,541,2,2026-05-04
192,1397,464,1,2025-01-08
193,1159,45,3,2025-05-29
194,2965,996,3,2025-07-25
195,1745,85,2,2025-01-21
196,2640,572,1,2026-03-23
197,1089,503,1,2026-03-09
198,81,606,1,2025-12-12
199,1600,132,2,2026-05-20
200,1411,939,3,2025-06-23
201,2990,189,3,2025-03-30
202,2491,81,1,2025-07-11
203,2064,314,3,2026-04-01
204,1084,20,3,2026-03-08
205,2757,827,3,2025-01-16
206,2816,399,3,2025-11-09
207,844,126,1,2025-03-25
208,1534,544,2,2025-04-22
209,1381,564,2,2025-09-05
210,1929,772,1,2026-03-02
211,1772,863,2,2025-05-12
212,1149,405,1,2025-08-12
213,1290,713,2,2025-05-23
214,2732,153,1,2026-05-27
215,2905,891,1,2026-05-14
216,271,909,1,2025-06-10
217,956,844,2,2025-05-14
218,987,383,3,2025-12-07
219,1287,655,2,2025-08-07
220,1874,305,2,2026-05-01
221,1999,143,1,2025-03-13
222,1605,37,2,2025-03-05
223,1124,562,1,2026-03-31
224,2551,518,3,2025-04-18
225,2621,515,2,2026-04-27
226,2041,470,3,2025-12-20
227,529,11,2,2025-10-07
228,1659,354,1,2026-01-26
229,361,642,3,2026-01-14
230,1503,187,1,2025-04-08
231,2980,394,1,2025-07-06
232,2520,819,1,2026-02-17
233,2724,387,2,2026-01-30
234,1726,183,1,2026-06-09
235,2517,889,1,2025-11-14
236,96,737,1,2025-07-23
237,712,611,3,2025-02-02
238,273,512,2,2026-02-28
239,1760,217,3,2025-02-01
240,2063,647,1,2026-03-23
241,1161,704,1,2025-10-25
242,2949,259,1,2025-06-26
243,31,444,3,2025-05-03
244,2462,18,2,2026-01-30
245,2904,799,3,2025-02-19
246,1206,177,3,2025-01-06
247,2255,19,1,2026-02-06
248,1182,501,3,2026-06-15
249,2480,322,2,2026-04-19
250,338,334,2,2025-02-19
251,2375,815,1,2025-10-26
252,358,706,1,2025-09-26
253,2184,280,2,2025-12-20
254,2416,211,3,2025-08-03
255,1460,776,2,2025-11-27
256,177,757,2,2025-09-29
257,1606,451,1,2026-06-17
258,2035,358,1,2025-09-26
259,2757,37,3,2026-03-23
260,2319,671,3,2026-01-21
261,1437,135,3,2026-01-28
262,1877,30,2,2026-02-08
263,443,838,3,2026-07-05
264,974,858,2,2025-07-20
265,737,474,2,2025-09-21
266,2483,870,1,2025-02-25
267,166,628,1,2025-05-09
268,1553,648,2,2026-04-25
269,848,972,2,2026-02-12
270,848,622,3,2026-02-15
271,171,58,1,2025-01-01
272,1861,877,2,2025-10-25
273,1445,775,1,2025-12-03
274,1257,913,2,2025-05-02
275,2563,124,2,2025-12-04
276,1196,160,2,2025-05-13
277,1626,442,2,2026-06-25
278,2884,496,2,2025-08-25
279,1045,429,2,2026-05-25
280,2964,853,2,2026-01-29
281,2190,184,1,2026-06-24
282,2311,599,3,2026-03-08
283,507,747,3,2025-01-17
284,950,435,2,2026-03-08
285,1234,858,3,2025-02-21
286,1957,688,1,2025-09-19
287,3000,768,3,2026-01-07
288,1286,772,1,2025-02-04
289,2037,679,1,2026-03-25
290,2954,824,3,2025-11-29
291,1135,196,3,2025-04-19
292,2517,583,2,2025-05-03
293,1521,195,3,2026-01-17
294,1364,519,3,2025-11-08
295,2315,300,1,2025-08-28
296,1885,437,1,2025-05-13
297,936,891,2,2025-06-21
298,1926,11,3,2025-04-05
299,172,856,2,2025-12-02
300,626,341,1,2026-03-23
301,2171,178,1,2025-08-03
302,2187,605,1,2025-01-02
303,899,737,3,2026-01-13
304,1456,992,1,2026-01-25
305,2218,340,3,2025-01-26
306,2951,656,3,2025-05-18
307,545,454,1,2025-02-27
308,89,136,1,2025-09-15
309,2111,508,1,2026-05-03
310,1600,325,2,2026-01-04
311,2454,501,1,2025-02-01
312,1259,415,1,2026-03-02
313,631,107,2,2025-05-08
314,1032,437,3,2025-03-14
315,368,587,2,2025-03-03
316,2128,764,1,2025-12-10
317,1774,429,3,2026-04-10
318,1707,173,3,2025-11-27
319,2438,827,1,2026-01-16
320,1441,13,2,2026-03-28
321,684,354,3,2025-07-08
322,473,836,3,2025-06-17
323,928,260,3,2025-08-19
324,692,446,2,2025-01-02
325,2202,788,3,2026-04-14
326,229,937,1,2025-06-15
327,2276,171,2,2026-03-07
328,2270,519,3,2025-07-22
329,1274,71,1,2026-06-11
330,2915,535,2,2026-07-05
331,911,411,2,2025-07-13
332,2436,589,2,2025-07-06
333,1006,54,2,2025-11-11
334,2616,80,1,2025-12-05
335,1465,976,3,2025-11-15
336,1946,992,3,2025-10-22
337,301,412,3,2025-04-14
338,654,305,3,2025-02-20
339,2814,889,1,2025-01-14
340,308,348,2,2026-06-02
341,1345,216,2,2025-10-25
342,1607,930,3,2025-02-09
343,1009,89,1,2025-03-09
344,2142,412,2,2025-05-18
345,497,314,3,2025-01-07
346,2969,654,2,2025-03-17
347,1006,180,2,2026-06-24
348,993,21,1,2025-04-21
349,647,579,3,2026-05-05
350,2085,844,1,2025-12-18
351,350,948,1,2025-03-07
352,2442,789,2,2026-03-04
353,1797,38,1,2025-05-30
354,549,235,3,2026-06-10
355,429,770,2,2026-06-22
356,853,800,1,2025-08-03
357,2648,644,2,2026-01-01
358,1014,857,2,2025-07-08
359,2270,766,2,2025-11-22
360,1116,183,3,2026-05-02
361,907,601,2,2025-12-10
362,2737,922,1,2025-01-06
363,430,85,1,2025-08-27
364,2096,183,1,2025-09-18
365,1822,37,3,2025-05-01
366,2595,315,3,2025-01-08
367,2900,571,2,2025-09-07
368,2638,266,3,2025-12-31
369,1584,301,2,2025-09-24
370,1245,515,3,2025-12-04
371,1784,513,3,2026-06-13
372,159,565,3,2025-04-13
373,2165,886,3,2026-03-05
374,1188,408,2,2025-02-06
375,1642,607,1,2025-06-15
376,1990,36,3,2025-06-04
377,2616,308,2,2026-02-24
378,2901,814,2,2025-06-02
379,2139,683,1,2025-11-12
380,1148,281,2,2025-05-01
381,1307,420,1,2026-02-03
382,437,822,2,2025-12-19
383,2546,221,2,2026-03-20
384,1868,676,2,2025-03-07
385,2397,625,2,2025-07-04
386,148,511,1,2026-06-22
387,1036,424,3,2025-06-06
388,2103,222,2,2025-03-30
389,1235,90,2,2025-12-15
390,2068,870,2,2025-09-04
391,1628,179,2,2026-06-06
392,2998,744,1,2026-01-29
393,1028,625,3,2025-11-08
394,1252,766,2,2025-09-20
395,951,134,2,2025-03-16
396,128,971,1,2025-05-26
397,517,197,3,2026-01-22
398,2269,545,3,2025-11-19
399,2721,254,3,2026-06-17
400,1399,322,3,2025-05-11
401,1601,698,1,2025-01-05
402,2169,906,3,2026-06-08
403,2771,400,1,2026-02-20
404,1210,348,2,2026-05-04
405,2573,524,3,2025-12-31
406,236,323,2,2025-07-19
407,2633,779,1,2025-08-22
408,1913,713,3,2026-02-03
409,905,561,2,2025-07-14
410,1111,50,2,2026-02-05
411,2925,821,3,2025-09-14
412,590,322,1,2025-01-31
413,1749,273,3,2025-10-14
414,1008,578,2,2025-12-27
415,331,334,3,2025-05-25
416,159,816,3,2025-06-08
417,2302,879,1,2026-06-23
418,1106,792,3,2026-05-19
419,1885,535,3,2025-07-20
420,2428,375,1,2025-02-10
421,813,78,1,2025-06-25
422,2029,949,1,2025-05-16
423,849,560,2,2025-05-01
424,315,840,1,2026-05-10
425,2378,174,1,2025-03-10
426,1044,348,3,2025-08-16
427,1595,379,1,2025-06-19
428,264,262,2,2026-04-23
429,2939,455,3,2025-01-13
430,1518,204,1,2025-04-15
431,596,689,1,2026-06-02
432,481,49,2,2026-03-02
433,1737,819,3,2026-02-23
434,2185,77,3,2025-01-01
435,694,718,2,2025-11-20
436,2646,725,1,2025-04-11
437,920,632,1,2025-01-15
438,714,398,2,2025-05-22
439,1128,892,1,2026-01-23
440,2576,424,2,2025-05-23
441,2744,293,3,2025-06-28
442,1452,664,3,2025-05-04
443,88,642,2,2026-06-18
444,2194,150,2,2026-01-03
445,1420,276,3,2026-03-16
446,2451,238,1,2025-11-15
447,2587,772,2,2025-03-02
448,1190,81,1,2025-08-13
449,132,988,3,2025-04-24
450,1412,561,2,2025-07-22
451,1617,657,2,2026-03-10
452,2815,6,1,2025-08-28
453,1259,101,3,2026-06-24
454,895,44,3,2025-02-17
455,2132,454,3,2025-10-29
456,2230,420,2,2026-05-08
457,2303,100,1,2025-07-03
458,2286,190,2,2025-01-07
459,1000,616,2,2025-11-27
460,1540,244,1,2026-02-16
461,2383,493,1,2025-10-18
462,584,719,3,2025-10-10
463,1126,515,3,2026-02-15
464,2457,239,2,2025-01-30
465,979,877,1,2025-08-19
466,2025,885,2,2025-12-05
467,2389,348,3,2025-02-08
468,1656,31,1,2026-03-17
469,1902,49,3,2025-08-13
470,727,198,3,2025-06-17
471,814,32,2,2025-02-14
472,1891,395,2,2026-01-12
473,1780,531,1,2025-11-15
474,2791,54,1,2025-11-22
475,2837,814,2,2025-12-11
476,2691,443,3,2026-04-17
477,311,319,1,2025-03-15
478,1364,382,1,2025-03-02
479,2995,716,3,2025-09-15
480,954,801,3,2026-05-14
481,665,556,2,2025-09-29
482,578,440,1,2025-06-23
483,262,238,2,2025-12-29
484,1710,387,1,2026-02-19
485,2074,512,1,2025-01-06
486,121,625,2,2025-06-18
487,608,359,3,2026-05-20
488,2348,650,2,2026-02-05
489,150,129,3,2026-04-29
490,341,509,2,2025-11-29
491,2595,200,1,2025-07-02
492,1089,681,3,2026-02-03
493,1308,638,3,2025-04-08
494,1075,491,1,2025-07-18
495,194,996,1,2025-03-28
496,1640,757,2,2025-07-22
497,2440,104,1,2025-01-24
498,2923,107,3,2026-04-03
499,317,698,1,2026-04-25
500,518,39,2,2025-11-20
501,1432,161,3,2025-03-12
502,1997,694,1,2025-11-10
503,1399,749,3,2025-04-03
504,2250,255,1,2025-10-29
505,1714,114,3,2026-06-01
506,2354,268,1,2026-05-16
507,377,131,3,2025-01-15
508,2464,747,3,2025-10-23
509,2428,589,2,2025-05-08
510,2190,29,1,2025-04-07
511,1968,106,3,2025-02-26
512,2202,408,1,2026-04-01
513,1739,311,1,2025-07-27
514,904,889,2,2025-02-12
515,1865,173,2,2025-06-15
516,2255,165,1,2026-04-14
517,2939,402,1,2025-04-09
518,2689,984,3,2025-12-14
519,1720,601,3,2026-06-02
520,1089,765,1,2025-10-18
521,1895,377,2,2025-02-12
522,1434,590,2,2025-06-10
523,2659,485,1,2026-03-05
524,1151,685,3,2026-05-21
525,654,989,1,2025-03-15
526,1361,207,1,2026-04-18
527,477,88,2,2025-05-14
528,515,653,1,2025-12-16
529,1203,422,2,2025-08-13
530,287,959,1,2026-03-22
531,2889,687,1,2025-05-08
532,1504,587,2,2025-09-08
533,2691,977,2,2025-09-06
534,1630,366,3,2026-06-25
535,26,650,1,2026-05-03
536,1630,400,2,2026-06-17
537,1193,283,1,2026-07-04
538,305,951,3,2025-01-25
539,2762,263,2,2025-03-10
540,1117,302,2,2026-06-20
541,2068,712,3,2025-02-11
542,1556,908,2,2025-03-10
543,2164,941,1,2026-03-12
544,862,731,3,2025-03-01
545,1080,483,2,2025-09-26
546,2123,359,2,2026-03-15
547,2691,489,1,2025-10-08
548,199,708,1,2025-03-18
549,440,802,3,2026-02-01
550,1892,970,2,2026-07-02
551,2003,274,1,2025-08-04
552,2650,391,1,2025-03-02
553,1943,507,2,2026-06-15
554,35,759,3,2026-03-04
555,419,706,1,2026-04-25
556,100,705,2,2026-07-04
557,1064,556,2,2025-07-09
558,594,736,1,2025-09-28
559,2353,262,1,2025-09-01
560,1227,483,2,2026-05-12
561,935,725,2,2025-08-12
562,2958,7,2,2025-10-04
563,428,861,3,2025-03-26
564,2335,69,1,2025-10-15
565,89,780,1,2025-06-12
566,841,882,1,2025-05-06
567,1095,183,2,2025-09-10
568,346,397,3,2026-02-06
569,701,236,2,2025-01-12
570,730,825,2,2026-07-02
571,1267,983,3,2025-02-20
572,458,675,2,2025-08-15
573,1076,962,1,2026-03-29
574,444,647,3,2026-05-18
575,612,173,3,2025-08-15
576,1481,184,2,2025-10-26
577,1234,670,3,2025-10-22
578,755,214,2,2025-06-24
579,2332,59,1,2025-04-01
580,581,824,3,2026-06-03
581,1974,180,1,2025-12-12
582,2855,432,1,2026-07-03
583,711,845,2,2025-07-12
584,2862,319,3,2025-05-21
585,2985,54,2,2025-09-07
586,1649,508,1,2025-03-20
587,2147,423,1,2025-09-03
588,1047,566,2,2025-12-15
589,344,68,3,2025-10-14
590,717,443,2,2025-02-12
591,2713,393,2,2025-11-20
592,2586,704,3,2025-08-02
593,1830,5,2,2025-07-29
594,563,625,1,2026-03-18
595,1318,222,1,2026-05-15
596,1121,52,1,2025-01-22
597,586,345,2,2025-11-05
598,2323,37,2,2025-05-02
599,2573,628,1,2025-07-11
600,1495,140,2,2026-02-10
601,597,149,2,2025-05-12
602,125,750,1,2025-10-25
603,2813,880,3,2026-02-14
604,420,884,3,2026-05-31
605,1432,531,1,2025-03-01
606,1115,710,1,2025-03-02
607,2263,928,2,2025-04-13
608,1909,663,1,2025-05-23
609,253,678,1,2025-05-04
610,505,240,2,2026-04-07
611,149,931,1,2025-05-26
612,2587,860,2,2025-01-21
613,2102,438,1,2025-06-10
614,2055,388,1,2025-03-23
615,416,596,1,2025-04-02
616,22,619,3,2025-12-24
617,1839,432,1,2026-05-13
618,1487,34,3,2025-07-08
619,1470,78,1,2025-11-02
620,1350,320,2,2026-02-06
621,1661,33,2,2025-01-05
622,1725,712,1,2026-05-23
623,311,453,2,2026-02-22
624,382,877,3,2025-08-21
625,453,879,1,2025-07-29
626,1382,685,1,2026-03-13
627,2607,15,2,2025-01-01
628,1636,24,2,2025-03-26
629,2707,687,3,2025-03-09
630,2604,883,2,2026-06-11
631,729,434,1,2025-11-14
632,1699,104,1,2025-10-06
633,843,444,1,2025-06-17
634,2784,158,3,2025-07-21
635,1122,52,2,2025-08-02
636,825,430,3,2025-11-10
637,1024,530,3,2026-02-10
638,1103,532,3,2026-03-18
639,133,209,3,2026-04-26
640,1957,493,3,2025-10-21
641,714,98,2,2025-02-13
642,1062,429,3,2025-08-04
643,357,11,3,2025-06-27
644,386,379,3,2025-12-21
645,935,727,3,2025-04-14
646,1143,473,1,2025-09-14
647,1391,920,3,2026-06-26
648,67,128,1,2025-03-10
649,571,177,2,2025-04-21
650,2071,943,1,2025-01-25
651,1265,143,3,2025-02-18
652,711,872,3,2025-10-03
653,70,180,1,2026-06-23
654,2452,426,2,2026-02-17
655,471,937,3,2026-06-04
656,745,555,1,2025-10-22
657,1434,530,3,2025-10-30
658,629,995,1,2025-07-10
659,1926,121,3,2026-03-16
660,623,574,3,2025-05-11
661,560,642,2,2026-05-29
662,899,354,1,2026-05-06
663,1015,923,3,2025-06-28
664,2192,962,3,2026-05-19
665,877,456,2,2026-01-17
666,2175,827,2,2025-04-10
667,537,894,2,2025-04-18
668,2134,235,3,2025-05-20
669,1415,137,2,2025-08-08
670,1910,787,3,2026-03-01
671,142,694,3,2025-08-26
672,2005,448,1,2025-09-04
673,2486,878,3,2025-10-11
674,2900,429,3,2025-07-20
675,1262,317,2,2026-06-13
676,2161,956,1,2025-11-27
677,2429,262,1,2026-04-20
678,1987,977,1,2025-03-23
679,1348,670,3,2026-01-30
680,1481,345,2,2025-08-15
681,1337,101,1,2025-09-21
682,1237,971,2,2025-11-30
683,1834,47,1,2025-07-25
684,565,81,3,2025-02-23
685,142,202,1,2025-01-19
686,935,830,1,2026-07-02
687,552,826,1,2025-12-29
688,426,517,2,2025-10-07
689,1667,362,2,2025-07-28
690,597,371,3,2025-06-01
691,759,32,1,2025-10-30
692,794,8,3,2025-02-03
693,1069,10,3,2025-01-29
694,1249,510,1,2025-09-18
695,4,619,2,2025-05-22
696,1317,314,2,2025-10-21
697,273,518,2,2025-03-29
698,2652,881,2,2025-12-05
699,651,117,3,2026-05-06
700,1441,48,1,2026-05-30
701,1260,604,2,2026-01-17
702,1176,345,2,2026-03-29
703,1286,947,3,2026-01-04
704,2350,263,1,2026-01-17
705,2956,695,3,2025-12-07
706,1641,858,2,2026-04-02
707,2741,587,1,2025-10-07
708,191,173,2,2025-07-17
709,1672,384,1,2025-11-26
710,2009,267,1,2026-05-25
711,43,473,1,2025-12-20
712,2341,496,3,2025-09-20
713,624,275,2,2025-07-30
714,2010,754,2,2026-04-07
715,2478,72,3,2025-07-17
716,2604,714,2,2025-01-26
717,2955,35,2,2025-01-30
718,1951,651,1,2025-09-02
719,1474,606,1,2025-11-17
720,2670,784,3,2026-05-24
721,2590,882,3,2025-01-08
722,1824,272,3,2025-04-09
723,2459,196,1,2025-12-19
724,2759,894,2,2025-04-20
725,1534,113,2,2026-02-05
726,169,564,1,2025-12-31
727,942,82,3,2025-11-30
728,799,585,1,2025-06-26
729,966,629,2,2025-04-14
730,1956,167,1,2025-05-26
731,852,441,1,2025-04-28
732,257,29,2,2025-07-09
733,912,311,3,2025-01-16
734,1946,811,1,2026-04-30
735,1404,274,3,2025-05-13
736,147,199,3,2026-01-08
737,1229,305,3,2025-12-12
738,601,335,1,2026-03-30
739,2432,373,3,2026-02-18
740,1213,73,1,2025-07-07
741,249,58,3,2025-11-24
742,1743,139,2,2025-09-13
743,1010,13,2,2025-06-04
744,2228,462,1,2026-04-02
745,1782,354,2,2026-05-25
746,1357,100,3,2025-04-12
747,231,903,3,2025-07-19
748,2550,89,1,2025-07-30
749,1413,285,3,2025-01-04
750,423,450,1,2025-04-04
751,228,617,2,2025-04-20
752,2624,249,2,2025-04-28
753,1682,261,2,2025-10-21
754,644,530,3,2026-02-01
755,2522,636,3,2025-01-22
756,1727,697,2,2025-06-27
757,1603,924,3,2026-03-13
758,1088,912,2,2026-04-17
759,2927,38,2,2025-06-22
760,1898,845,1,2026-04-07
761,738,418,1,2025-12-10
762,207,810,1,2025-08-08
763,1467,802,1,2025-09-09
764,279,762,1,2025-01-17
765,1452,898,3,2025-09-09
766,2570,914,2,2025-08-29
767,2914,715,1,2025-03-12
768,784,17,2,2026-01-09
769,500,585,3,2025-10-31
770,1357,261,3,2026-05-02
771,2276,275,2,2025-09-16
772,2107,74,2,2025-04-20
773,486,678,1,2025-12-20
774,168,38,3,2026-05-09
775,1402,76,1,2026-03-26
776,1274,704,2,2025-03-02
777,928,534,1,2025-03-02
778,1021,950,2,2025-10-06
779,2559,149,2,2026-03-02
780,1914,350,3,2026-03-13
781,2783,787,1,2025-04-27
782,1862,102,2,2025-03-30
783,2423,186,2,2026-03-26
784,2006,126,1,2025-06-12
785,1755,351,3,2025-08-19
786,115,617,1,2025-10-28
787,1468,290,2,2025-10-18
788,1355,773,2,2025-02-09
789,2673,28,1,2026-05-20
790,431,123,3,2026-02-19
791,699,951,2,2025-08-25
792,1473,157,2,2026-06-25
793,2675,745,1,2025-12-23
794,549,512,2,2025-12-21
795,2672,425,1,2025-06-08
796,1040,265,3,2026-04-20
797,670,531,3,2026-06-19
798,1351,617,3,2025-01-23
799,1335,723,1,2025-02-27
800,818,329,2,2026-03-17
801,1595,104,3,2025-04-17
802,1846,145,3,2026-04-27
803,1067,471,3,2025-04-15
804,2987,831,1,2025-07-31
805,1103,490,3,2025-09-06
806,2914,621,3,2025-01-24
807,1595,96,3,2025-11-09
808,342,669,3,2025-07-22
809,2669,35,3,2026-04-19
810,2592,533,3,2025-02-05
811,2151,102,3,2025-06-18
812,364,313,1,2025-09-13
813,2195,844,1,2025-12-16
814,1987,74,2,2026-04-24
815,719,498,3,2025-03-12
816,844,309,3,2025-10-29
817,16,93,3,2026-01-28
818,2244,269,2,2025-06-25
819,1815,95,3,2025-12-07
820,1812,169,1,2025-06-16
821,1719,17,3,2026-01-23
822,1100,1000,3,2025-07-18
823,666,101,3,2025-09-08
824,1749,16,2,2026-06-20
825,590,932,3,2025-06-25
826,205,151,1,2025-06-26
827,1859,911,3,2025-12-25
828,1742,716,1,2026-01-22
829,1427,425,3,2025-05-13
830,94,947,2,2025-03-09
831,2804,344,1,2026-05-25
832,2659,707,3,2025-02-25
833,1137,70,1,2026-03-21
834,429,800,3,2025-11-03
835,1641,983,2,2025-03-20
836,1582,251,1,2025-05-23
837,783,936,3,2026-01-27
838,2212,754,3,2025-03-28
839,737,753,3,2025-08-28
840,1934,811,1,2025-01-07
841,171,438,3,2025-07-04
842,2047,564,2,2026-01-28
843,2562,529,1,2025-09-25
844,2054,58,3,2026-04-16
845,1301,620,3,2026-02-04
846,2818,670,1,2026-02-01
847,1941,519,1,2025-09-07
848,271,187,2,2026-02-06
849,1151,44,2,2025-03-26
850,19,139,1,2025-07-21
851,2485,22,1,2026-06-20
852,546,286,2,2026-06-11
853,1844,963,2,2025-07-27
854,1910,673,2,2026-05-14
855,44,463,1,2026-07-03
856,1971,84,2,2025-10-19
857,1986,372,2,2025-02-11
858,2494,648,1,2025-07-26
859,1727,969,1,2025-08-09
860,1145,613,3,2025-12-16
861,379,339,2,2025-09-18
862,773,26,1,2025-05-25
863,2155,365,1,2026-06-06
864,1947,345,1,2025-11-30
865,2334,488,2,2025-09-19
866,1226,532,1,2025-05-24
867,1594,395,3,2026-02-08
868,870,809,1,2025-12-22
869,1996,471,2,2026-03-28
870,1958,953,1,2025-04-04
871,684,940,1,2025-05-27
872,2877,472,1,2025-08-23
873,2476,388,3,2025-08-08
874,2125,524,1,2025-10-08
875,2734,439,1,2025-11-19
876,2781,817,2,2026-03-30
877,754,597,2,2026-04-24
878,770,300,1,2026-05-09
879,1569,358,2,2026-02-14
880,1152,636,3,2025-02-23
881,1358,321,1,2025-11-10
882,2618,352,1,2025-10-08
883,910,386,3,2026-03-21
884,1844,206,3,2026-02-25
885,1397,622,1,2025-09-01
886,879,614,2,2025-06-08
887,2443,768,3,2025-07-30
888,34,79,1,2025-08-30
889,2562,961,1,2026-06-14
890,981,691,1,2026-05-26
