Date,Orders,Revenue,UnitsSold
2025-05-07,21,336382,189
2025-05-08,54,324798,238
2025-05-09,48,128240,46
2025-05-10,31,495356,224
2025-05-11,74,227099,71
2025-05-12,23,176035,187
2025-05-13,114,361087,136
2025-05-14,98,430846,245
2025-05-15,115,534496,182
2025-05-16,107,239782,173
2025-05-17,48,537620,112
2025-05-18,106,151359,185
2025-05-19,28,363939,182
2025-05-20,49,493355,162
2025-05-21,47,453882,190
2025-05-22,88,553794,203
2025-05-23,79,249052,186
2025-05-24,58,374971,227
2025-05-25,111,296714,104
2025-05-26,105,509998,242
2025-05-27,52,327915,216
2025-05-28,93,525936,240
2025-05-29,80,215665,122
2025-05-30,42,480870,92
2025-05-31,112,101369,139
2025-06-01,85,300804,69
2025-06-02,32,213304,118
2025-06-03,21,297995,80
2025-06-04,102,126966,165
2025-06-05,29,543585,236
2025-06-06,63,441951,83
2025-06-07,101,544823,70
2025-06-08,47,129940,171
2025-06-09,66,91772,107
2025-06-10,55,189629,150
2025-06-11,35,171563,136
2025-06-12,35,249003,209
2025-06-13,59,377768,122
2025-06-14,80,115437,165
2025-06-15,63,376048,248
2025-06-16,72,376934,59
2025-06-17,71,63787,53
2025-06-18,112,99036,110
2025-06-19,76,360411,229
2025-06-20,87,403084,74
2025-06-21,68,461631,163
2025-06-22,34,462114,177
2025-06-23,44,517589,234
2025-06-24,102,141977,223
2025-06-25,88,494223,75
2025-06-26,58,327946,177
2025-06-27,73,463439,75
2025-06-28,113,74906,175
2025-06-29,86,51856,244
2025-06-30,108,288293,217
2025-07-01,96,145311,182
2025-07-02,63,160050,127
2025-07-03,108,595714,204
2025-07-04,100,321004,241
2025-07-05,22,55887,240
2025-07-06,119,499134,199
2025-07-07,21,304643,200
2025-07-08,43,112443,123
2025-07-09,94,137016,236
2025-07-10,59,496609,170
2025-07-11,48,559982,178
2025-07-12,116,124958,91
2025-07-13,33,392191,67
2025-07-14,55,440104,227
2025-07-15,94,417945,157
2025-07-16,52,107969,69
2025-07-17,33,184266,85
2025-07-18,97,122069,58
2025-07-19,114,384167,207
2025-07-20,98,432885,213
2025-07-21,91,460877,149
2025-07-22,22,104436,57
2025-07-23,97,60756,198
2025-07-24,48,535360,48
2025-07-25,114,206169,233
2025-07-26,39,524080,41
2025-07-27,66,61118,204
2025-07-28,45,257958,202
2025-07-29,43,392704,166
2025-07-30,40,443128,106
2025-07-31,102,158179,161
2025-08-01,61,387960,206
2025-08-02,41,397260,109
2025-08-03,27,174024,55
2025-08-04,30,243623,195
2025-08-05,86,587561,95
2025-08-06,99,516719,138
2025-08-07,119,187517,246
2025-08-08,46,256680,245
2025-08-09,79,527337,146
2025-08-10,28,71376,215
2025-08-11,94,222959,74
2025-08-12,20,207703,219
2025-08-13,26,436019,133
2025-08-14,105,345770,225
2025-08-15,46,196423,90
2025-08-16,97,366776,204
2025-08-17,63,154355,184
2025-08-18,106,466545,122
2025-08-19,36,307334,172
2025-08-20,87,186113,138
2025-08-21,73,354594,84
2025-08-22,103,434230,55
2025-08-23,118,246999,77
2025-08-24,39,492814,95
2025-08-25,34,441545,171
2025-08-26,74,214564,74
2025-08-27,78,364100,41
2025-08-28,54,77430,64
2025-08-29,88,571369,125
2025-08-30,91,376658,126
2025-08-31,118,477607,83
2025-09-01,116,336612,136
2025-09-02,82,344030,174
2025-09-03,60,209152,68
2025-09-04,60,193950,148
2025-09-05,79,107602,247
2025-09-06,79,560889,80
2025-09-07,116,548514,172
2025-09-08,64,445033,68
2025-09-09,108,108678,84
2025-09-10,58,424763,134
2025-09-11,41,232809,127
2025-09-12,67,548126,111
2025-09-13,113,581373,234
2025-09-14,38,552507,229
2025-09-15,67,400871,81
2025-09-16,63,340556,231
2025-09-17,101,109691,178
2025-09-18,94,183862,165
2025-09-19,37,535793,106
2025-09-20,25,165239,88
2025-09-21,20,207628,195
2025-09-22,94,86876,67
2025-09-23,54,181614,226
2025-09-24,98,119483,216
2025-09-25,80,64979,228
2025-09-26,103,446175,159
2025-09-27,101,453487,205
2025-09-28,28,310140,99
2025-09-29,76,95475,54
2025-09-30,59,406132,227
2025-10-01,115,359048,199
2025-10-02,50,225308,74
2025-10-03,43,497084,247
2025-10-04,20,451964,200
2025-10-05,66,593414,208
2025-10-06,24,297146,160
2025-10-07,60,392428,163
2025-10-08,119,318470,75
2025-10-09,20,386405,93
2025-10-10,80,591856,161
2025-10-11,50,592292,224
2025-10-12,100,485885,142
2025-10-13,99,266028,43
2025-10-14,102,275674,219
2025-10-15,68,95422,228
2025-10-16,33,467794,43
2025-10-17,70,393687,234
2025-10-18,62,435814,219
2025-10-19,29,453916,83
2025-10-20,74,452344,187
2025-10-21,81,584012,141
2025-10-22,115,514111,133
2025-10-23,41,558600,107
2025-10-24,104,222276,120
2025-10-25,47,597530,78
2025-10-26,82,58489,185
2025-10-27,43,153500,106
2025-10-28,31,66823,152
2025-10-29,105,285648,49
2025-10-30,63,205081,150
2025-10-31,60,427521,216
2025-11-01,102,585319,40
2025-11-02,80,338229,81
2025-11-03,51,135907,70
2025-11-04,66,260491,194
2025-11-05,70,522045,119
2025-11-06,70,479197,212
2025-11-07,40,257131,88
2025-11-08,84,104755,222
2025-11-09,79,543381,103
2025-11-10,22,235152,202
2025-11-11,20,302283,198
2025-11-12,83,305440,191
2025-11-13,45,189288,92
2025-11-14,54,297208,78
2025-11-15,57,63469,176
2025-11-16,101,221206,53
2025-11-17,118,438617,191
2025-11-18,44,366899,182
2025-11-19,37,310437,110
2025-11-20,46,507604,45
2025-11-21,100,361827,117
2025-11-22,96,375925,235
2025-11-23,96,528387,92
2025-11-24,56,394366,139
2025-11-25,38,522972,170
2025-11-26,66,375020,224
2025-11-27,31,464235,238
2025-11-28,69,222881,203
2025-11-29,91,393103,150
2025-11-30,81,72019,238
2025-12-01,97,575460,165
2025-12-02,40,439089,144
2025-12-03,28,501086,48
2025-12-04,42,202812,228
2025-12-05,72,158452,182
2025-12-06,102,74179,116
2025-12-07,53,444836,44
2025-12-08,61,211095,64
2025-12-09,37,438447,53
2025-12-10,36,565258,134
2025-12-11,100,159520,160
2025-12-12,112,342977,144
2025-12-13,103,442613,227
2025-12-14,48,526125,133
2025-12-15,24,395162,92
2025-12-16,100,496933,140
2025-12-17,78,295051,48
2025-12-18,103,233339,157
2025-12-19,51,477843,102
2025-12-20,96,415829,53
2025-12-21,60,357602,115
2025-12-22,120,203402,149
2025-12-23,97,130731,63
2025-12-24,31,525039,240
2025-12-25,25,195475,168
2025-12-26,101,338749,168
2025-12-27,112,226432,167
2025-12-28,67,531081,246
2025-12-29,101,578550,219
2025-12-30,84,493278,158
2025-12-31,119,506404,74
2026-01-01,104,405984,218
2026-01-02,82,85785,84
2026-01-03,29,73852,164
2026-01-04,89,528006,200
2026-01-05,75,128144,148
2026-01-06,41,251399,215
2026-01-07,78,381542,172
2026-01-08,88,442781,90
2026-01-09,107,327343,96
2026-01-10,86,491677,182
2026-01-11,61,580911,115
2026-01-12,103,595733,148
2026-01-13,73,352698,177
2026-01-14,49,339402,245
2026-01-15,99,422575,44
2026-01-16,75,362044,165
2026-01-17,54,333300,87
2026-01-18,86,161703,119
2026-01-19,103,114129,45
2026-01-20,39,80359,195
2026-01-21,56,529346,188
2026-01-22,59,332936,41
2026-01-23,75,581859,142
2026-01-24,85,407802,127
2026-01-25,24,470289,119
2026-01-26,89,367256,220
2026-01-27,76,121980,59
2026-01-28,25,79824,192
2026-01-29,31,527657,92
2026-01-30,58,253964,220
2026-01-31,63,266213,86
2026-02-01,45,241320,77
2026-02-02,33,361905,204
2026-02-03,34,203642,190
2026-02-04,41,499910,120
2026-02-05,92,543588,73
2026-02-06,81,311695,123
2026-02-07,80,107218,113
2026-02-08,119,296303,239
2026-02-09,51,311093,201
2026-02-10,52,179082,63
2026-02-11,110,143151,161
2026-02-12,21,163101,160
2026-02-13,97,106747,138
2026-02-14,21,240345,181
2026-02-15,98,403637,122
2026-02-16,86,171581,173
2026-02-17,101,262386,187
2026-02-18,49,196350,65
2026-02-19,76,59308,78
2026-02-20,70,457534,236
2026-02-21,70,502818,228
2026-02-22,65,538997,189
2026-02-23,120,371927,220
2026-02-24,61,407514,228
2026-02-25,86,388495,49
2026-02-26,119,238424,137
2026-02-27,102,149089,139
2026-02-28,115,443759,181
2026-03-01,104,448759,193
2026-03-02,25,71208,53
2026-03-03,84,289791,184
2026-03-04,54,128370,207
2026-03-05,33,478010,187
2026-03-06,103,465100,211
2026-03-07,91,316456,230
2026-03-08,65,595051,114
2026-03-09,44,229507,227
2026-03-10,78,295099,151
2026-03-11,105,433923,157
2026-03-12,70,439609,118
2026-03-13,73,373175,231
2026-03-14,74,387141,140
2026-03-15,67,183245,70
2026-03-16,60,305159,97
2026-03-17,114,274842,58
2026-03-18,91,493708,243
2026-03-19,107,447732,246
2026-03-20,109,76383,131
2026-03-21,51,159394,154
2026-03-22,100,565428,190
2026-03-23,115,469619,66
2026-03-24,29,327472,127
2026-03-25,91,193305,40
2026-03-26,105,245967,70
2026-03-27,25,453059,211
2026-03-28,108,280219,129
2026-03-29,79,58374,187
2026-03-30,45,364925,175
2026-03-31,24,552657,225
2026-04-01,67,294346,152
2026-04-02,47,462140,42
2026-04-03,120,196891,58
2026-04-04,97,409703,216
2026-04-05,20,85891,46
2026-04-06,53,436235,174
2026-04-07,36,290876,115
2026-04-08,71,430776,74
2026-04-09,36,401737,50
2026-04-10,96,461783,136
2026-04-11,69,356585,170
2026-04-12,83,168043,171
2026-04-13,33,116756,108
2026-04-14,117,536974,210
2026-04-15,94,166962,146
2026-04-16,55,485769,213
2026-04-17,56,576770,240
2026-04-18,41,257381,64
2026-04-19,95,430508,154
2026-04-20,109,568079,149
2026-04-21,82,63602,145
2026-04-22,24,464404,182
2026-04-23,53,127956,90
2026-04-24,103,508754,231
2026-04-25,67,61145,198
2026-04-26,60,222892,248
2026-04-27,86,115086,117
2026-04-28,97,113419,65
2026-04-29,60,101580,67
2026-04-30,27,351022,165
2026-05-01,20,238884,191
2026-05-02,60,571284,146
2026-05-03,98,341300,181
2026-05-04,43,586158,75
2026-05-05,108,64239,225
2026-05-06,29,510043,188
2026-05-07,114,505493,85
2026-05-08,66,434248,106
2026-05-09,42,159306,74
2026-05-10,119,323946,176
2026-05-11,32,74640,192
2026-05-12,49,597206,73
2026-05-13,70,157385,132
2026-05-14,25,580312,107
2026-05-15,106,252610,223
2026-05-16,113,72275,249
2026-05-17,91,143518,140
2026-05-18,80,286517,175
2026-05-19,59,277159,151
2026-05-20,106,381701,191
2026-05-21,65,444737,45
2026-05-22,89,418741,89
2026-05-23,43,576053,163
2026-05-24,86,198590,220
2026-05-25,52,292572,122
2026-05-26,115,85959,238
2026-05-27,119,202132,200
2026-05-28,94,520401,97
2026-05-29,88,217874,121
2026-05-30,113,316081,81
2026-05-31,109,378910,181
2026-06-01,29,426634,109
2026-06-02,52,240178,134
2026-06-03,82,458124,196
2026-06-04,114,483013,177
2026-06-05,22,512386,229
2026-06-06,26,588759,212
2026-06-07,51,251734,212
2026-06-08,33,402745,247
2026-06-09,61,158891,215
2026-06-10,79,386728,203
2026-06-11,82,284433,82
2026-06-12,75,219292,121
2026-06-13,105,445205,171
2026-06-14,83,434332,175
2026-06-15,64,116577,97
2026-06-16,102,319368,220
2026-06-17,106,58251,131
2026-06-18,27,283529,124
2026-06-19,111,283429,164
2026-06-20,24,147356,208
2026-06-21,82,184450,179
2026-06-22,85,370752,42
2026-06-23,20,134288,53
2026-06-24,37,489560,177
2026-06-25,44,232626,116
2026-06-26,111,403124,42
2026-06-27,111,578081,197
2026-06-28,59,243235,74
2026-06-29,66,315531,99
2026-06-30,35,335043,79
2026-07-01,95,516360,194
2026-07-02,27,181068,143
2026-07-03,20,89461,170
2026-07-04,20,227525,59
2026-07-05,66,570345,110
2026-07-06,45,65853,164
2026-07-07,110,577894,240
2026-07-08,55,116333,41
2026-07-09,84,380308,183
2026-07-10,66,66738,52
2026-07-11,65,370982,56
2026-07-12,24,349460,94
2026-07-13,61,408106,231
2026-07-14,51,439192,117
2026-07-15,46,308362,249
2026-07-16,57,77149,59
2026-07-17,72,51957,135
2026-07-18,69,366994,212
2026-07-19,27,124232,105
2026-07-20,91,201705,106
2026-07-21,70,76193,46
2026-07-22,114,194468,164
2026-07-23,57,109004,248
2026-07-24,116,514448,163
2026-07-25,114,152732,101
2026-07-26,116,111676,118
2026-07-27,32,489960,139
2026-07-28,50,592149,179
2026-07-29,113,269897,145
2026-07-30,49,298874,100
2026-07-31,67,460193,46
2026-08-01,116,560399,40
2026-08-02,120,193371,48
2026-08-03,36,470379,244
2026-08-04,64,361093,174
2026-08-05,92,407949,176
2026-08-06,51,236745,93
2026-08-07,85,251115,226
2026-08-08,83,421773,178
2026-08-09,46,73506,249
2026-08-10,46,69628,62
2026-08-11,79,57499,55
2026-08-12,33,333253,62
2026-08-13,111,296616,164
2026-08-14,61,401890,144
2026-08-15,37,204102,224
2026-08-16,102,537115,228
2026-08-17,60,216036,43
2026-08-18,56,475716,236
2026-08-19,101,218860,82
2026-08-20,81,101696,219
2026-08-21,75,219539,70
2026-08-22,103,393159,243
2026-08-23,94,149180,163
2026-08-24,58,94219,224
2026-08-25,66,555330,143
2026-08-26,48,438337,194
2026-08-27,56,342000,205
2026-08-28,94,479645,214
2026-08-29,69,101966,51
2026-08-30,45,296341,102
2026-08-31,58,94643,213
2026-09-01,32,386327,131
2026-09-02,101,364533,219
2026-09-03,58,234910,124
2026-09-04,89,461662,172
2026-09-05,35,185822,167
2026-09-06,81,358285,202
2026-09-07,24,407720,235
2026-09-08,25,71627,244
2026-09-09,65,531919,87
2026-09-10,77,247142,67
2026-09-11,20,125430,41
2026-09-12,96,484223,54
2026-09-13,50,122582,54
2026-09-14,94,494343,139
2026-09-15,96,596404,196
2026-09-16,111,544002,140
2026-09-17,34,131810,101
2026-09-18,20,194227,224
2026-09-19,37,67376,78
2026-09-20,53,108887,86
2026-09-21,37,274680,82
2026-09-22,31,247915,181
2026-09-23,105,588050,60
2026-09-24,71,492863,55
2026-09-25,106,270156,238
2026-09-26,88,585245,240
2026-09-27,93,589193,149
2026-09-28,26,370593,193
2026-09-29,43,113496,219
2026-09-30,62,151651,100
2026-10-01,97,84383,246
2026-10-02,56,158533,111
2026-10-03,112,60307,181
2026-10-04,33,435818,241
2026-10-05,21,75222,96
2026-10-06,88,324698,128
2026-10-07,107,124259,180
2026-10-08,28,104644,224
2026-10-09,33,508765,246
2026-10-10,66,540948,183
2026-10-11,46,244750,175
2026-10-12,45,362484,163
2026-10-13,65,394502,239
2026-10-14,72,177105,67
2026-10-15,94,357563,88
2026-10-16,84,358017,189
2026-10-17,55,559726,168
2026-10-18,55,599110,80
2026-10-19,55,193969,118
2026-10-20,74,586886,82
2026-10-21,37,513157,156
2026-10-22,52,576746,153
2026-10-23,45,445578,193
2026-10-24,107,519624,190
2026-10-25,52,98315,181
2026-10-26,103,243704,197
2026-10-27,66,568692,227
2026-10-28,39,199408,242
2026-10-29,103,551461,199
2026-10-30,117,452149,111
2026-10-31,74,399217,173
2026-11-01,44,506974,90
2026-11-02,116,215105,242
2026-11-03,103,213628,248
2026-11-04,98,473105,79
2026-11-05,106,473779,132
2026-11-06,44,244066,74
2026-11-07,107,132562,57
2026-11-08,85,236900,135
2026-11-09,22,545147,82
2026-11-10,97,237385,110
2026-11-11,104,311435,58
2026-11-12,112,477993,217
2026-11-13,63,117782,188
2026-11-14,61,297748,236
2026-11-15,93,163498,243
2026-11-16,62,513361,45
2026-11-17,98,214900,194
2026-11-18,49,145397,194
2026-11-19,73,65381,200
2026-11-20,37,561837,248
2026-11-21,115,558653,84
2026-11-22,57,122904,133
2026-11-23,114,351664,87
2026-11-24,40,342086,129
2026-11-25,66,246794,248
2026-11-26,21,51846,83
2026-11-27,90,326893,147
2026-11-28,70,197735,83
2026-11-29,48,537317,157
2026-11-30,113,538810,143
2026-12-01,120,65177,247
2026-12-02,36,310342,181
2026-12-03,55,85353,244
2026-12-04,36,516813,113
2026-12-05,68,175679,172
2026-12-06,53,571754,82
2026-12-07,71,322324,202
2026-12-08,25,265159,70
2026-12-09,29,402082,125
2026-12-10,112,262783,87
2026-12-11,43,163644,202
2026-12-12,93,152210,238
2026-12-13,109,470754,164
2026-12-14,62,286622,108
2026-12-15,98,64464,70
2026-12-16,45,398151,204
2026-12-17,74,138805,246
2026-12-18,99,318762,100
2026-12-19,118,237678,222
2026-12-20,55,89193,248
2026-12-21,120,308345,226
2026-12-22,109,420154,119
2026-12-23,74,223268,50
2026-12-24,87,263869,166
2026-12-25,75,149065,213
2026-12-26,119,471752,216
2026-12-27,41,295495,160
2026-12-28,119,118751,72
2026-12-29,59,64478,100
2026-12-30,71,201841,223
2026-12-31,112,525813,155
