ActivityID,CustomerID,ProductID,ActivityType,ActivityDate
251,2583,542,Purchase,2026-06-26
252,959,872,AddToCart,2025-02-05
253,2969,590,View,2025-03-27
254,2172,196,AddToCart,2026-01-10
255,65,351,View,2026-01-06
256,1590,416,Wishlist,2025-06-26
257,2362,461,Search,2025-04-16
258,1559,251,AddToCart,2025-05-25
259,831,704,Search,2026-01-03
260,131,550,View,2025-11-13
261,2815,951,View,2025-01-09
262,342,288,AddToCart,2025-06-21
263,953,714,Purchase,2026-03-30
264,2224,519,Search,2025-11-17
265,1356,756,Wishlist,2025-11-08
266,1237,989,Purchase,2026-05-03
267,1043,296,AddToCart,2025-09-16
268,2357,531,Search,2025-01-01
269,2583,867,AddToCart,2025-01-20
270,209,756,AddToCart,2025-11-04
271,2607,314,AddToCart,2025-06-28
272,2555,808,Search,2026-02-03
273,2042,210,Wishlist,2025-08-20
274,1239,110,Wishlist,2026-03-28
275,2950,986,Search,2025-02-15
276,2365,251,View,2026-05-20
277,886,34,AddToCart,2025-12-10
278,2951,210,View,2026-06-21
279,517,753,Purchase,2025-01-06
280,965,849,Search,2025-11-01
281,2549,3,AddToCart,2025-09-09
282,2966,678,Search,2025-06-26
283,1835,680,Search,2025-09-27
284,343,470,View,2026-01-18
285,1731,94,AddToCart,2025-08-14
286,1695,748,View,2025-06-22
287,651,163,Wishlist,2025-09-28
288,2589,952,Purchase,2025-11-27
289,40,412,Purchase,2026-06-13
290,1825,317,View,2026-04-14
291,582,849,Search,2025-12-24
292,2029,187,Purchase,2025-04-11
293,2060,343,Purchase,2026-01-17
294,2217,380,Wishlist,2025-05-24
295,1293,577,Wishlist,2025-08-30
296,2677,349,Wishlist,2026-01-04
297,2093,226,View,2025-05-01
298,1142,899,AddToCart,2026-01-12
299,2755,307,View,2026-05-15
300,780,672,Purchase,2026-02-03
301,2173,28,Wishlist,2026-04-02
302,2298,287,Wishlist,2026-05-07
303,94,803,Wishlist,2026-06-25
304,700,941,View,2025-07-07
305,2746,913,View,2025-06-25
306,685,429,View,2026-04-22
307,1585,79,AddToCart,2025-06-29
308,560,418,Search,2026-01-13
309,1920,519,AddToCart,2025-05-19
310,486,200,View,2026-04-11
311,566,67,Search,2026-02-28
312,1000,560,Purchase,2025-02-01
313,1641,981,View,2025-09-07
314,2827,895,Search,2025-02-20
315,1231,722,Purchase,2026-01-30
316,1093,50,View,2026-03-25
317,1079,272,Purchase,2026-06-21
318,2555,616,AddToCart,2025-04-11
319,2249,965,Purchase,2026-01-21
320,2330,141,Purchase,2025-01-11
321,2765,51,AddToCart,2025-02-12
322,799,838,Purchase,2026-01-04
323,2314,601,Purchase,2025-08-28
324,1802,267,AddToCart,2026-03-08
325,215,290,AddToCart,2025-01-19
326,2145,916,Search,2025-01-17
327,2212,531,AddToCart,2025-12-01
328,1463,79,AddToCart,2025-08-15
329,1111,609,Wishlist,2025-09-27
330,2655,773,Search,2025-01-17
331,443,173,Search,2025-10-06
332,2604,812,Purchase,2025-05-04
333,788,718,AddToCart,2026-06-16
334,1388,78,Wishlist,2025-01-17
335,2060,791,AddToCart,2025-01-07
336,2689,442,Purchase,2025-12-31
337,1652,291,View,2026-04-15
338,1613,394,AddToCart,2025-05-13
339,2317,46,Purchase,2025-04-27
340,1284,623,Wishlist,2025-03-11
341,1944,283,Purchase,2025-11-14
342,1317,510,View,2025-09-03
343,1104,440,View,2025-08-06
344,24,992,Wishlist,2025-12-12
345,465,69,View,2026-01-04
346,1848,562,AddToCart,2025-12-10
347,2626,246,Purchase,2025-10-24
348,543,497,Purchase,2025-12-20
349,1228,477,Purchase,2025-01-09
350,1186,160,View,2026-02-19
351,1664,303,Purchase,2025-05-11
352,1458,826,AddToCart,2025-12-04
353,151,761,Search,2026-04-11
354,2198,8,View,2026-02-03
355,2676,897,Purchase,2026-06-03
356,2749,596,View,2025-12-05
357,2533,32,Purchase,2025-04-01
358,1546,958,Purchase,2025-12-07
359,38,14,View,2025-04-22
360,2107,414,Wishlist,2026-04-10
361,1166,574,Search,2025-03-22
362,1086,165,Wishlist,2025-08-20
363,2398,213,View,2025-10-13
364,1565,180,AddToCart,2025-12-30
365,843,595,Purchase,2026-01-16
366,2244,708,Purchase,2025-10-23
367,416,140,View,2026-01-27
368,2314,236,Wishlist,2025-06-01
369,1537,564,Purchase,2026-05-25
370,1229,319,AddToCart,2025-05-07
371,2042,476,AddToCart,2025-03-27
372,2688,144,AddToCart,2025-09-26
373,1070,761,Purchase,2025-10-05
374,1029,109,Search,2025-03-31
375,2535,415,Search,2025-08-09
376,607,519,Wishlist,2025-10-05
377,819,648,View,2025-09-09
378,1581,563,Search,2026-04-30
379,1283,250,Wishlist,2025-02-25
380,1622,766,View,2025-05-31
381,1067,224,Search,2026-01-13
382,158,583,AddToCart,2026-02-07
383,557,503,Wishlist,2026-06-11
384,2327,349,Search,2026-02-07
385,979,261,View,2026-02-16
386,932,804,AddToCart,2025-06-16
387,1740,142,Purchase,2025-10-09
388,1578,449,Search,2026-05-09
389,2515,257,AddToCart,2025-05-18
390,564,69,AddToCart,2025-06-05
391,1583,460,AddToCart,2026-05-23
392,723,680,Wishlist,2025-07-25
393,93,941,Purchase,2026-02-11
394,1822,361,AddToCart,2025-03-28
395,481,233,AddToCart,2025-02-02
396,2742,270,Purchase,2025-11-24
397,1853,4,AddToCart,2025-06-26
398,2101,976,View,2025-05-04
399,2913,746,Search,2025-01-11
400,1104,86,Wishlist,2025-06-08
401,2996,742,View,2025-01-12
402,1769,879,AddToCart,2025-12-05
403,1851,533,View,2026-06-18
404,2053,887,View,2025-08-28
405,1614,77,Search,2025-03-17
406,2677,927,Wishlist,2025-01-11
407,1142,567,View,2025-09-18
408,2608,842,View,2026-02-23
409,1701,637,AddToCart,2026-02-12
410,2680,701,Purchase,2025-05-12
411,105,659,Purchase,2025-03-09
412,1738,924,Search,2025-12-09
413,2196,746,AddToCart,2025-12-15
414,2468,739,Wishlist,2025-04-29
415,2050,502,Wishlist,2025-05-20
416,1055,572,View,2025-01-09
417,1732,731,Purchase,2025-01-22
418,2851,687,AddToCart,2025-09-18
419,2540,24,Purchase,2025-08-20
420,1817,861,AddToCart,2026-06-05
421,347,430,Search,2026-04-25
422,119,906,Search,2025-06-27
423,1045,418,Wishlist,2025-10-16
424,1363,154,Purchase,2026-01-07
425,802,921,Wishlist,2025-12-17
426,1764,688,Purchase,2025-07-04
427,2746,606,Search,2026-03-02
428,794,156,Search,2025-10-17
429,1759,506,Search,2025-06-16
430,2189,871,Purchase,2025-01-03
431,2820,117,Wishlist,2025-09-15
432,1658,659,AddToCart,2025-10-13
433,1051,947,AddToCart,2026-04-24
434,1623,645,Wishlist,2025-11-16
435,318,39,Wishlist,2025-08-06
436,1943,618,Wishlist,2025-05-04
437,1996,258,AddToCart,2026-03-20
438,216,731,Purchase,2026-04-27
439,1803,815,Purchase,2025-07-16
440,202,798,AddToCart,2025-03-06
441,1568,546,Purchase,2026-05-14
442,890,410,View,2025-09-10
443,537,524,Search,2025-08-28
444,382,770,Search,2026-03-23
445,969,550,Purchase,2025-11-21
446,2969,192,Purchase,2025-01-28
447,2094,719,Wishlist,2025-02-18
448,217,248,AddToCart,2025-09-23
449,1957,843,View,2025-03-29
450,2783,308,Purchase,2025-01-14
451,2556,707,View,2025-11-06
452,129,955,Search,2025-09-14
453,1994,926,Purchase,2025-06-15
454,1108,779,Search,2025-11-12
455,2481,242,Wishlist,2025-08-11
456,221,922,Wishlist,2026-04-25
457,2932,304,Wishlist,2026-06-22
458,1538,714,Search,2025-09-08
459,2312,721,Search,2025-10-29
460,28,452,Purchase,2025-06-22
461,1083,431,View,2026-04-30
462,39,473,AddToCart,2025-07-24
463,971,400,AddToCart,2025-04-23
464,450,76,View,2026-03-21
465,2129,728,Purchase,2025-05-01
466,2865,43,AddToCart,2026-02-13
467,2460,764,Purchase,2026-04-23
468,2922,69,Purchase,2025-06-23
469,2306,368,Search,2026-01-22
470,667,217,Purchase,2026-04-28
471,200,551,Search,2026-04-09
472,388,17,Wishlist,2025-04-05
473,1626,997,Wishlist,2025-06-05
474,125,494,View,2026-01-22
475,2222,564,Wishlist,2025-09-15
476,1968,213,Wishlist,2026-05-18
477,1526,894,Purchase,2025-11-12
478,346,926,AddToCart,2025-03-19
479,894,295,Wishlist,2025-02-09
480,963,23,Purchase,2026-05-11
481,1357,429,Search,2026-06-06
482,2235,45,AddToCart,2025-01-06
483,1077,829,Search,2025-08-10
484,1049,933,AddToCart,2025-07-11
485,859,506,Purchase,2026-06-07
486,941,583,View,2026-02-02
487,2737,890,Purchase,2025-12-25
488,1358,893,Search,2025-11-12
489,2828,349,AddToCart,2025-07-08
490,1349,464,Search,2026-06-23
491,2117,597,Purchase,2025-09-19
492,1101,858,View,2025-03-17
493,1508,995,AddToCart,2025-06-14
494,2416,987,View,2025-08-18
495,961,76,Wishlist,2025-03-15
496,1497,774,AddToCart,2025-11-26
497,851,191,Purchase,2026-03-09
498,1195,770,Purchase,2025-09-15
499,1600,83,Wishlist,2025-05-05
500,346,838,View,2025-07-13
501,457,197,View,2025-08-07
502,2735,580,Purchase,2026-02-07
503,1315,187,Search,2025-04-23
504,2097,358,View,2025-07-30
505,2737,695,View,2025-05-19
506,2366,610,Search,2025-03-05
507,1703,524,Wishlist,2026-02-02
508,119,860,Purchase,2025-11-26
509,2851,941,AddToCart,2025-06-04
510,2560,43,Search,2025-05-15
511,2743,247,Wishlist,2025-04-04
512,2767,691,View,2025-06-14
513,316,912,Wishlist,2026-04-26
514,2521,364,Wishlist,2025-07-15
515,2570,759,AddToCart,2025-10-23
516,180,792,Purchase,2025-12-21
517,1293,685,Purchase,2025-12-27
518,370,817,AddToCart,2025-10-23
519,590,494,Purchase,2025-11-22
520,1517,372,Search,2025-11-11
521,931,859,Wishlist,2026-05-30
522,1182,826,Search,2026-05-25
523,1302,828,Wishlist,2026-01-11
524,2864,681,Purchase,2025-09-27
525,978,246,AddToCart,2026-06-02
526,2027,820,AddToCart,2026-06-30
527,1350,963,View,2025-03-22
528,701,773,Search,2025-07-31
529,1206,804,Search,2025-03-07
530,1844,314,Search,2025-04-30
531,1761,973,AddToCart,2025-09-07
532,2804,57,Wishlist,2025-02-04
533,186,223,Wishlist,2026-06-27
534,158,261,AddToCart,2025-07-11
535,2654,237,View,2025-07-11
536,1354,235,View,2026-05-25
537,1934,604,View,2026-05-13
538,1766,30,AddToCart,2025-01-23
539,1506,141,Wishlist,2026-02-25
540,1726,529,Wishlist,2026-05-24
541,2530,697,View,2025-08-25
542,2349,884,AddToCart,2026-05-28
543,1371,776,View,2025-09-04
544,994,890,Search,2025-01-05
545,1886,384,AddToCart,2026-06-25
546,1944,724,View,2026-06-10
547,313,45,Wishlist,2025-12-04
548,65,634,AddToCart,2026-06-12
549,439,963,View,2025-08-10
550,1568,972,Purchase,2026-02-27
551,524,471,View,2025-04-21
552,2287,871,Purchase,2025-11-30
553,2046,772,Search,2026-05-04
554,960,442,AddToCart,2025-11-09
555,309,485,AddToCart,2026-02-14
556,1609,981,Wishlist,2025-07-02
557,1549,403,Wishlist,2025-09-23
558,153,259,Search,2026-04-10
559,1698,199,Wishlist,2025-08-03
560,1608,389,Search,2025-10-26
561,609,544,Search,2026-04-06
562,904,911,Wishlist,2026-01-21
563,572,12,View,2025-02-11
564,904,864,Purchase,2025-12-04
565,368,341,View,2025-10-12
566,1396,26,Search,2025-09-16
567,1656,228,Search,2026-06-10
568,952,812,Wishlist,2026-02-21
569,1858,994,Search,2025-11-26
570,896,526,Search,2026-05-07
571,2464,608,Wishlist,2025-01-01
572,1093,562,Wishlist,2026-03-11
573,880,937,AddToCart,2025-01-17
574,1919,97,Purchase,2025-06-09
575,481,943,Search,2025-07-07
576,494,375,View,2025-11-17
577,1688,382,Purchase,2025-06-17
578,611,694,Wishlist,2025-10-13
579,438,981,Wishlist,2025-09-09
580,1957,162,Purchase,2026-02-16
581,2642,254,AddToCart,2025-03-15
582,2710,994,Wishlist,2026-01-05
583,476,769,AddToCart,2025-04-15
584,673,567,Purchase,2025-12-09
585,608,657,Search,2025-06-10
586,1251,843,Purchase,2026-01-06
587,610,463,Purchase,2025-06-29
588,1304,28,Wishlist,2025-01-01
589,2263,320,AddToCart,2026-06-29
590,2453,650,AddToCart,2025-05-05
591,1036,217,Wishlist,2025-09-06
592,2524,967,Search,2025-11-27
593,613,129,Wishlist,2026-02-13
594,308,778,View,2025-08-12
595,582,705,AddToCart,2025-02-18
596,1504,300,Purchase,2025-02-08
597,1198,796,Purchase,2025-04-26
598,681,239,View,2025-01-20
599,749,66,Search,2025-11-13
600,2666,735,Purchase,2026-05-25
601,1154,337,Purchase,2026-04-14
602,626,316,View,2025-05-10
603,458,952,Purchase,2026-06-12
604,2302,93,Wishlist,2025-02-15
605,423,355,Wishlist,2025-08-11
606,1179,787,Purchase,2026-06-06
607,351,432,AddToCart,2025-12-29
608,347,52,Search,2025-08-24
609,474,25,Search,2025-12-05
610,585,796,Search,2025-06-13
611,1896,874,AddToCart,2026-01-07
612,771,677,AddToCart,2025-06-29
613,191,649,View,2025-08-16
614,2771,896,Purchase,2025-01-02
615,2252,933,Wishlist,2025-02-05
616,1238,576,Purchase,2025-01-13
617,2423,987,View,2025-11-14
618,1759,684,View,2026-05-05
619,691,706,AddToCart,2026-04-03
620,1103,694,AddToCart,2026-06-18
621,633,942,Purchase,2026-03-20
622,2563,533,Wishlist,2025-07-30
623,1079,392,Search,2025-04-22
624,517,774,Purchase,2025-02-20
625,2289,56,Wishlist,2026-04-27
626,979,440,View,2025-06-02
627,2800,897,Search,2025-08-18
628,2789,47,Purchase,2026-02-12
629,2540,155,Wishlist,2026-02-26
630,1771,343,Search,2025-12-19
631,799,144,Search,2025-02-03
632,1939,151,Search,2025-10-27
633,888,792,AddToCart,2025-06-25
634,1814,971,Purchase,2026-01-07
635,686,290,AddToCart,2026-05-05
636,278,206,Purchase,2026-05-01
637,2918,44,Wishlist,2026-02-10
638,347,171,AddToCart,2025-09-13
639,453,383,Purchase,2026-01-15
640,2149,253,Wishlist,2025-06-26
641,458,577,Purchase,2025-08-20
642,308,653,Purchase,2025-08-18
643,2858,537,Search,2025-06-07
644,70,527,Purchase,2026-03-07
645,1892,141,AddToCart,2025-05-16
646,2024,894,View,2026-02-22
647,2698,947,Wishlist,2025-09-22
648,2001,438,Search,2026-06-01
649,1856,89,Wishlist,2025-01-27
650,24,306,Search,2026-06-07
651,132,20,AddToCart,2026-03-10
652,30,289,Wishlist,2025-06-06
653,2813,986,Wishlist,2025-11-17
654,626,840,Search,2025-05-20
655,2463,963,View,2025-08-19
656,1037,821,AddToCart,2025-07-29
657,761,154,Search,2025-05-27
658,690,859,Search,2026-03-06
659,628,273,View,2025-09-26
660,829,800,Purchase,2025-05-13
661,214,970,AddToCart,2026-05-27
662,525,273,Purchase,2025-05-06
663,2298,316,Wishlist,2025-07-27
664,2903,62,View,2025-02-14
665,2659,623,Wishlist,2026-05-14
666,443,472,View,2025-11-10
667,1591,946,Purchase,2025-07-27
668,1041,516,View,2026-06-25
669,1941,877,Purchase,2025-02-10
670,2169,413,Purchase,2025-04-09
671,2598,409,Purchase,2026-03-10
672,825,558,Wishlist,2026-04-26
673,1239,676,AddToCart,2026-03-23
674,1428,549,Wishlist,2025-09-27
675,2912,996,AddToCart,2025-07-24
676,679,807,Search,2026-05-26
677,2649,235,AddToCart,2025-11-15
678,423,228,Wishlist,2025-03-02
679,1461,200,Purchase,2025-09-20
680,24,191,AddToCart,2026-03-28
681,1833,871,AddToCart,2025-11-14
682,2964,414,View,2026-05-24
683,2969,915,Purchase,2026-04-09
684,450,211,Purchase,2025-02-18
685,111,347,Search,2026-04-26
686,1420,313,Wishlist,2026-06-28
687,1206,69,Wishlist,2026-03-27
688,286,915,View,2025-02-28
689,2689,298,Search,2026-06-11
690,56,177,AddToCart,2025-05-20
691,531,131,View,2025-01-12
692,2569,110,AddToCart,2025-04-01
693,914,145,View,2026-05-20
694,1029,566,Search,2025-09-10
695,442,621,Purchase,2025-06-08
696,1637,429,View,2025-06-15
697,2136,352,View,2025-04-22
698,1499,542,AddToCart,2025-10-29
699,2221,821,Search,2025-08-12
700,585,279,Wishlist,2025-10-25
701,1464,489,AddToCart,2025-07-31
702,1648,457,View,2026-03-07
703,207,532,Wishlist,2026-02-06
704,2744,3,Purchase,2026-04-01
705,527,517,Purchase,2025-07-12
706,592,668,Wishlist,2026-03-19
707,484,670,AddToCart,2026-05-23
708,1361,361,Wishlist,2025-11-20
709,412,540,View,2025-08-24
710,2394,220,Search,2025-05-29
711,999,71,AddToCart,2025-11-16
712,330,447,View,2025-02-24
713,2459,332,View,2026-03-31
714,2875,783,Purchase,2026-06-29
715,1311,70,View,2025-09-09
716,118,101,Wishlist,2026-07-02
717,2949,848,Purchase,2025-04-27
718,1069,375,View,2025-10-24
719,948,663,Search,2025-01-04
720,2302,143,Wishlist,2025-01-27
721,1020,766,AddToCart,2025-06-11
722,2558,70,Purchase,2025-09-28
723,358,818,Purchase,2025-11-22
724,229,32,Search,2026-04-29
725,1788,765,View,2025-10-24
726,2013,263,Wishlist,2026-06-22
727,1322,282,Search,2025-09-23
728,1245,199,Search,2026-03-02
729,1831,479,Search,2025-04-14
730,1046,873,View,2026-02-06
731,948,957,AddToCart,2025-05-14
732,2795,979,Purchase,2025-08-06
733,1473,229,AddToCart,2025-01-26
734,2993,119,Purchase,2025-04-18
735,908,116,Purchase,2026-01-08
736,1079,140,Wishlist,2025-06-25
737,2643,882,Search,2025-01-02
738,1956,507,View,2025-03-01
739,2245,907,View,2025-05-17
740,385,766,Search,2026-03-17
741,695,878,Purchase,2026-02-16
742,2452,658,Purchase,2025-05-21
743,546,395,View,2026-03-21
744,467,723,Purchase,2025-06-26
745,2934,464,View,2025-11-22
746,2127,666,Purchase,2025-07-15
747,1081,33,AddToCart,2025-11-08
748,425,944,Wishlist,2026-03-25
749,459,894,Purchase,2026-04-23
750,925,677,Wishlist,2025-08-28
751,410,992,AddToCart,2026-01-20
752,538,362,View,2025-12-06
753,2349,224,Purchase,2025-11-07
754,1553,558,Search,2025-12-31
755,1207,763,Wishlist,2025-03-10
756,448,799,Search,2025-06-12
757,2464,25,Purchase,2025-11-04
758,1728,445,AddToCart,2025-11-26
759,1500,26,Wishlist,2025-09-27
760,2593,870,Purchase,2025-12-10
761,2033,300,View,2025-04-27
762,883,317,Wishlist,2025-01-09
763,1138,921,Purchase,2026-01-19
764,754,966,AddToCart,2025-08-06
765,2765,492,Purchase,2025-10-13
766,1125,621,Purchase,2025-10-28
767,2819,804,Wishlist,2025-04-05
