RecommendationID,CustomerID,RecommendedProductID,Score
167,1358,324,0.94
168,697,944,0.58
169,2230,783,0.67
170,587,614,0.58
171,1707,574,0.97
172,2133,22,0.64
173,1657,421,0.98
174,665,788,0.78
175,1098,928,0.9
176,433,446,0.65
177,220,341,0.7
178,1848,789,0.86
179,444,657,0.92
180,691,606,0.69
181,2155,280,0.5
182,1689,419,0.64
183,1962,133,0.53
184,2042,559,0.52
185,75,542,0.65
186,2900,154,0.56
187,2359,110,0.6
188,2705,99,0.88
189,172,355,0.81
190,2817,815,0.52
191,1670,333,0.82
192,1795,770,0.78
193,2146,790,0.83
194,659,93,0.79
195,2925,476,0.65
196,792,318,0.71
197,2585,566,0.92
198,1793,950,0.54
199,1495,254,0.68
200,923,37,0.69
201,1236,251,0.81
202,1079,709,0.78
203,1417,532,0.78
204,1281,105,0.81
205,1849,900,0.86
206,2207,548,0.92
207,771,164,0.56
208,647,554,0.76
209,2610,25,0.65
210,111,984,0.7
211,2070,305,0.74
212,2184,187,0.64
213,371,165,0.6
214,250,939,0.76
215,2187,889,0.92
216,972,456,0.5
217,1798,115,0.97
218,481,751,0.99
219,2588,122,0.55
220,2971,188,0.67
221,514,765,0.61
222,868,722,0.74
223,74,736,0.94
224,86,498,0.87
225,1785,947,0.58
226,1182,33,0.94
227,2376,313,0.75
228,1462,878,0.73
229,2102,551,0.87
230,710,441,0.92
231,2283,466,0.65
232,108,701,0.58
233,2608,729,0.89
234,2459,642,0.72
235,1259,356,0.96
236,2748,371,0.57
237,2230,310,0.64
238,1146,910,0.52
239,2904,982,0.94
240,1,572,0.54
241,760,529,0.85
242,1913,706,0.71
243,1858,216,0.68
244,2377,755,0.61
245,942,838,0.83
246,2394,620,0.51
247,698,590,0.58
248,2467,769,0.92
249,1955,78,0.5
250,2352,274,0.73
251,1742,408,0.65
252,190,405,0.95
253,2270,837,0.91
254,1662,195,0.86
255,564,373,0.97
256,253,759,0.65
257,1660,147,0.61
258,1154,803,0.97
259,2531,765,0.67
260,2545,107,0.91
261,298,527,0.88
262,2755,558,0.53
263,1150,974,0.72
264,2209,649,0.82
265,1984,230,0.96
266,5,945,0.89
267,1109,698,0.79
268,889,214,0.72
269,1909,958,0.83
270,2918,417,0.64
271,1231,800,0.59
272,464,465,0.82
273,800,37,0.5
274,2218,35,0.68
275,2219,382,0.55
276,2462,572,0.82
277,1939,502,0.7
278,2508,521,0.99
279,517,462,0.59
280,1660,550,0.98
281,1243,49,0.81
282,2495,911,0.57
283,1732,696,0.76
284,822,328,0.52
285,1905,919,0.68
286,1797,784,0.61
287,2013,602,0.52
288,1906,532,0.87
289,1394,177,0.99
290,776,331,0.58
291,849,95,0.84
292,645,195,0.56
293,1899,499,0.99
294,1541,348,0.77
295,2496,72,0.85
296,2639,440,0.53
297,2178,820,0.78
298,1678,516,0.83
299,1378,690,0.65
300,2224,680,0.64
301,754,842,0.61
302,767,410,0.59
303,672,675,0.78
304,2780,730,0.55
305,90,847,0.99
306,502,583,0.98
307,2765,394,0.79
308,689,658,0.95
309,9,664,0.98
310,2895,918,0.94
311,2704,56,0.56
312,2,859,0.56
313,926,74,0.69
314,2110,278,0.92
315,762,970,0.68
316,2389,379,0.65
317,1242,975,0.66
318,2940,869,0.98
319,1,195,0.73
320,2769,805,0.81
321,1891,316,0.79
322,897,869,0.58
323,73,853,0.83
324,866,443,0.55
325,2352,895,0.85
326,643,49,0.82
327,551,838,0.56
328,1291,603,0.71
329,1810,199,0.6
330,1895,792,0.93
331,2370,88,0.94
332,228,519,0.74
333,1877,110,0.79
334,2206,562,0.85
335,144,630,0.94
336,1461,781,0.95
337,1361,577,0.97
338,1118,566,0.84
339,1934,140,0.87
340,381,876,0.93
341,1630,271,0.58
342,1455,282,0.6
343,415,604,0.98
344,71,868,0.64
345,1871,125,0.84
346,1685,252,0.85
347,355,223,0.53
348,2178,192,0.89
349,2406,772,0.84
350,1190,928,0.99
351,941,886,0.91
352,2110,872,0.58
353,1028,325,0.69
354,1288,247,0.93
355,162,74,0.91
356,2786,572,0.53
357,1524,251,0.79
358,1547,632,0.91
359,425,178,0.53
360,2885,332,0.99
361,1252,771,0.63
362,2861,25,0.98
363,1311,832,0.71
364,1667,108,0.97
365,325,324,0.73
366,2428,890,0.59
367,1949,877,0.82
368,591,652,0.54
369,1644,228,0.65
370,483,181,0.68
371,2265,930,0.67
372,763,601,0.89
373,1834,103,0.95
374,1214,298,0.98
375,2835,678,0.57
376,2345,103,0.56
377,1234,743,0.81
378,1867,130,0.54
379,1082,779,0.96
380,2363,34,0.82
381,807,912,0.67
382,1946,637,0.84
383,2035,839,0.9
384,1834,273,0.93
385,723,274,0.96
386,151,851,0.69
387,2592,995,0.86
388,2430,85,0.89
389,590,133,0.61
390,2435,639,0.66
391,2154,832,0.62
392,2375,866,0.59
393,198,512,0.8
394,390,985,0.66
395,468,149,0.51
396,1428,527,0.81
397,57,536,0.64
398,2565,636,0.81
399,817,500,0.86
400,2447,841,0.63
401,1160,630,0.56
402,1940,680,0.86
403,1434,261,0.9
404,423,87,0.8
405,942,421,0.61
406,257,6,0.83
407,2595,478,0.85
408,2270,525,0.59
409,1479,921,0.65
410,1562,213,0.9
411,2,77,0.92
412,2074,577,0.89
413,1753,207,0.71
414,2597,924,0.89
415,2490,131,0.53
416,2283,920,0.62
417,1021,110,0.67
418,2010,934,0.72
419,2264,936,0.76
420,2020,428,0.55
421,2134,966,0.7
422,2625,602,0.84
423,857,532,0.97
424,248,557,0.79
425,1104,375,0.55
426,1572,235,0.76
427,2168,458,0.66
428,1584,146,0.67
429,562,192,0.94
430,978,335,0.78
431,574,531,0.64
432,565,694,0.93
433,1205,906,0.85
434,61,967,0.96
435,759,912,0.87
436,1919,738,0.83
437,2040,106,0.93
438,969,283,0.55
439,89,818,0.9
440,1764,712,0.88
441,2735,803,0.67
442,640,193,0.88
443,959,508,0.98
444,2934,203,0.7
445,165,59,0.69
446,1667,562,0.7
447,1753,639,0.87
448,514,804,0.51
449,1165,905,0.93
450,1601,632,0.62
451,2297,549,0.92
452,2279,53,0.84
453,117,849,0.56
454,2211,849,0.67
455,2871,377,0.75
456,2431,364,0.95
457,92,278,0.51
458,282,529,0.87
459,2983,921,0.7
460,202,544,0.84
461,1415,606,0.59
462,1491,262,0.79
463,2974,158,0.62
464,2239,348,0.92
465,2592,836,0.78
466,826,938,0.75
467,2196,27,0.84
468,106,397,0.99
469,2322,193,0.92
470,234,530,0.81
471,881,870,0.78
472,2771,477,0.98
473,1979,381,0.5
474,2547,441,0.92
475,2648,636,0.63
476,223,754,0.65
477,71,649,0.84
478,1324,688,0.86
479,651,460,0.79
480,9,924,0.59
481,1197,291,0.95
482,1333,409,0.87
483,2051,675,0.72
484,512,630,0.81
485,1590,84,0.63
486,548,344,0.81
487,499,165,0.72
488,1659,694,0.69
489,1343,432,0.7
490,2264,885,0.51
491,1270,38,0.66
492,500,686,0.65
493,1299,928,0.76
494,1806,567,0.77
495,1233,83,0.93
496,739,993,0.98
497,2873,711,0.86
498,45,912,0.87
499,474,679,0.75
500,658,69,0.83
501,70,304,0.53
502,1468,59,0.92
503,2082,375,0.9
504,2676,883,0.76
505,1671,429,0.89
506,802,260,0.82
507,2858,474,0.69
508,893,652,0.86
509,1979,561,0.69
510,1101,538,0.51
511,886,564,0.52
512,1636,673,0.69
513,1134,15,0.78
514,328,695,0.54
515,2099,146,0.81
516,443,170,0.81
517,2554,930,0.73
518,1136,382,0.71
519,2353,425,0.98
520,1271,129,0.68
521,2632,684,0.93
522,2923,109,0.62
523,2622,758,0.72
524,746,631,0.56
525,487,49,0.91
526,703,735,0.82
527,334,755,0.69
528,998,626,0.73
529,746,313,0.7
530,889,801,0.51
531,380,211,0.84
532,1547,491,0.55
533,2958,912,0.85
534,266,30,0.9
535,1446,264,0.88
536,820,34,0.5
537,483,690,0.6
538,2043,707,0.7
539,315,286,0.91
540,1402,391,0.92
541,2875,353,0.9
542,45,48,0.71
543,1550,734,0.7
544,2583,674,0.89
545,1908,154,0.94
546,865,226,0.72
547,1410,882,0.91
548,2014,198,0.75
549,2020,382,0.88
550,540,251,0.7
551,1808,892,0.74
552,2409,534,0.74
553,2135,659,0.7
554,1771,127,0.7
555,1663,147,0.8
556,1381,61,0.77
557,1228,654,0.63
558,2857,826,0.8
559,2230,633,0.51
560,2274,183,0.52
561,2507,508,0.64
562,1640,595,0.98
563,2040,845,0.52
564,1555,782,0.65
565,2726,773,0.67
566,1547,86,0.56
567,2067,512,0.56
568,2245,799,0.82
569,1596,818,0.95
570,80,830,0.83
571,2686,618,0.97
572,2737,296,0.56
573,153,196,0.73
574,1435,454,0.63
575,694,354,0.86
576,2260,187,0.59
577,2818,472,0.7
578,1129,188,0.51
579,2000,196,0.89
580,2648,527,0.98
581,596,972,0.79
582,1304,994,0.94
583,1483,588,0.86
584,2627,613,0.85
585,2742,935,0.88
586,572,496,0.61
587,446,880,0.64
588,2516,611,0.75
589,1498,192,0.54
590,2113,133,0.84
591,1873,405,0.65
592,1377,51,0.75
593,977,435,0.7
594,480,618,0.71
595,2159,392,0.64
596,694,818,0.73
597,95,580,0.7
598,1692,196,0.9
599,1666,67,0.82
600,17,967,0.97
601,2445,147,0.74
602,1574,38,0.97
603,1561,341,0.86
604,1099,909,0.89
605,1053,499,0.65
606,856,126,0.52
607,2046,125,0.86
608,621,542,0.95
609,655,708,0.55
610,1994,270,0.88
611,727,658,0.68
612,473,859,0.78
613,2734,737,0.58
614,814,20,0.56
615,1197,836,0.77
616,1706,999,0.59
617,2816,407,0.56
618,454,239,0.93
619,1227,227,0.74
620,2889,699,0.99
621,1033,769,0.61
622,1380,586,0.83
623,845,612,0.65
624,711,425,0.59
625,2061,799,0.52
626,2366,727,0.68
627,2713,677,0.78
628,2599,127,0.76
629,465,962,0.69
630,1010,849,0.93
631,1319,197,0.68
632,1964,204,0.96
633,991,602,0.99
634,2310,873,0.94
635,1010,924,0.58
636,2451,545,0.7
637,1947,101,0.5
638,1610,961,0.91
639,469,783,0.55
640,1619,845,0.76
641,1126,782,0.92
642,1370,863,0.67
643,195,26,0.64
644,1840,66,0.55
645,2442,267,0.78
646,414,285,0.54
647,1712,161,0.99
648,697,172,0.84
649,615,457,0.53
650,2199,486,0.93
651,631,9,0.74
652,978,279,0.53
653,769,803,0.63
654,430,970,0.81
655,1360,171,0.94
656,2753,993,0.77
657,1322,511,0.96
658,2343,776,0.71
659,2749,283,0.54
660,1349,282,0.63
661,344,960,0.97
662,1153,53,0.75
663,489,490,0.77
664,1987,820,0.54
665,1893,852,0.84
666,784,835,0.54
667,1193,688,0.52
668,2154,766,0.94
669,2244,134,0.92
670,2918,329,0.56
671,2163,631,0.76
672,611,982,0.71
673,925,430,0.96
674,463,507,0.65
675,735,67,0.73
676,190,749,0.61
677,2990,795,0.91
678,2832,900,0.68
679,1937,813,0.57
680,2644,549,0.82
681,2167,70,0.74
682,2387,946,0.88
683,1215,484,0.76
684,714,544,0.82
685,2200,922,0.93
686,2842,791,0.75
687,805,394,0.82
688,1649,367,0.6
689,2175,834,0.81
690,1082,115,0.68
691,2182,888,0.58
692,795,29,0.82
693,1861,924,0.73
694,1739,695,0.64
695,1654,196,0.65
696,1503,423,0.82
697,2620,202,0.95
698,2345,395,0.57
699,2093,26,0.79
700,651,388,0.54
701,673,200,0.97
702,944,381,0.98
703,1800,463,0.57
704,1359,619,0.77
705,2917,479,0.85
706,189,87,0.71
707,1079,170,0.67
708,2355,62,0.57
709,1329,582,0.7
710,933,342,0.63
711,2292,286,0.87
712,2807,952,0.92
713,289,58,0.56
714,2250,496,0.62
715,2576,315,0.82
716,1265,546,0.56
717,336,702,0.98
718,580,52,0.51
719,2012,67,0.6
720,1145,158,0.55
721,1881,966,0.93
722,2390,70,0.92
723,1887,995,0.86
724,2345,271,0.84
725,726,732,0.53
726,1038,181,0.97
727,1261,738,0.74
728,1231,542,0.9
729,2961,26,0.79
730,479,323,0.59
731,717,597,0.87
732,1774,26,0.65
733,2576,295,0.8
734,1165,960,0.97
735,2211,799,0.84
736,1711,400,0.58
737,1354,123,0.93
738,811,950,0.92
739,1863,430,0.88
740,1699,86,0.54
741,2788,855,0.53
742,2187,851,0.85
743,1859,247,0.63
744,2664,593,0.51
745,1912,674,0.67
746,2668,669,0.88
747,1704,475,0.83
748,1302,662,0.82
749,2770,110,0.6
750,2729,436,0.78
751,2899,773,0.89
752,1080,990,0.74
753,2673,970,0.82
754,2588,494,0.96
755,4,182,0.89
756,2893,824,0.88
757,438,599,0.62
758,38,772,0.62
759,300,993,0.59
760,1910,409,0.55
761,1962,820,0.55
762,1162,705,0.64
763,2678,609,0.51
764,1783,851,0.95
765,2344,157,0.7
766,2397,988,0.55
767,2155,437,0.56
768,219,96,0.67
769,2890,994,0.79
770,653,866,0.54
771,2595,878,0.68
772,884,941,0.92
773,1633,181,0.98
774,2299,659,0.83
775,668,494,0.96
776,1140,47,0.83
777,899,410,0.87
778,2650,88,0.74
779,1483,765,0.75
780,1558,496,0.68
781,1145,860,0.99
782,2816,469,0.9
783,2646,765,0.57
784,1589,607,0.85
785,592,30,0.9
786,1590,722,0.77
787,930,618,0.67
788,252,178,0.58
789,2938,903,0.52
790,2621,849,0.62
791,1290,42,0.7
792,2367,155,0.64
793,534,836,0.65
794,2178,394,0.75
795,709,951,0.74
796,525,441,0.64
797,588,234,0.55
798,155,973,0.61
799,1931,991,0.92
800,2000,836,0.85
801,1930,259,0.56
802,2857,806,0.73
803,2016,906,0.77
804,2748,39,0.78
805,2991,658,0.56
806,1972,32,0.82
807,2256,894,0.5
808,1410,927,0.91
809,239,335,0.89
810,1464,934,0.53
811,304,477,0.85
812,2720,900,0.98
813,1738,33,0.62
814,604,532,0.64
815,929,409,0.84
816,1852,956,0.95
817,622,425,0.75
818,1844,738,0.77
819,2377,641,0.97
820,1848,245,0.53
821,1191,117,0.72
822,816,628,0.59
823,2644,936,0.86
824,1524,724,0.74
825,2669,903,0.98
826,2211,584,0.61
827,598,241,0.55
828,91,509,0.98
829,2362,19,0.96
830,76,818,0.59
831,2822,950,0.64
832,805,440,0.66
833,2852,100,0.84
834,1967,159,0.96
835,2583,475,0.89
836,714,822,0.79
837,347,544,0.63
838,2698,319,0.52
839,16,36,0.64
840,854,268,0.86
841,1261,216,0.62
842,2832,12,0.55
843,209,143,0.85
844,774,236,0.67
845,2062,144,0.93
846,352,206,0.96
847,603,362,0.92
848,2398,391,0.85
849,618,366,0.88
850,1742,708,0.63
851,1774,638,0.78
852,1323,860,0.65
853,1475,349,0.96
854,821,341,0.94
855,2214,41,0.99
856,2461,384,0.64
857,613,477,0.88
858,1791,980,0.51
859,2501,165,0.61
860,1408,344,0.92
861,1793,360,0.53
862,2255,149,0.59
863,9,607,0.63
864,698,363,0.83
865,2183,449,0.54
866,1635,156,0.6
867,2351,532,0.91
868,1603,799,0.65
869,1006,133,0.5
870,1615,892,0.74
871,1843,782,0.65
872,1491,218,0.77
873,2385,72,0.52
874,1437,1,0.8
875,1052,725,0.51
876,242,23,0.96
877,1883,557,0.67
878,11,493,0.91
879,2439,88,0.94
880,2144,478,0.51
881,1739,241,0.7
882,1226,222,0.76
883,2553,863,0.59
884,1520,993,0.54
885,705,844,0.55
886,1741,437,0.78
887,2731,522,0.53
888,60,957,0.82
889,1166,724,0.69
890,2539,808,0.94
891,318,915,0.78
892,2204,480,0.92
893,2046,40,0.97
894,2382,636,0.84
895,818,731,0.76
896,2426,801,0.7
897,2108,922,0.73
898,849,319,0.92
899,2885,218,0.87
900,383,451,0.91
901,790,385,0.56
902,2725,135,0.51
903,2895,566,0.89
904,799,852,0.61
905,85,945,0.94
906,161,830,0.57
907,2870,734,0.6
908,60,616,0.76
909,948,24,0.64
910,2648,690,0.75
911,1881,861,0.62
912,1391,639,0.55
913,135,321,0.69
914,355,536,0.52
915,2134,535,0.69
916,651,2,0.62
917,992,614,0.98
918,2652,577,0.67
919,2273,404,0.83
920,1646,66,0.9
921,851,246,0.84
922,1308,669,0.55
923,1806,520,0.99
924,1106,377,0.75
925,2198,946,0.97
926,523,70,0.55
927,2773,445,0.7
928,590,891,0.64
929,743,161,0.91
930,661,535,0.68
931,2774,253,0.56
932,2918,5,0.5
933,2724,693,0.54
934,2701,707,0.76
935,1076,809,0.66
936,2135,214,0.61
937,2432,559,0.74
938,2363,429,0.71
939,2012,330,0.81
940,1955,235,0.67
941,1630,210,0.54
942,560,597,0.79
943,947,40,0.52
944,1154,57,0.85
945,2487,985,0.76
946,1551,626,0.78
947,223,746,0.75
948,1003,742,0.51
949,2464,214,0.91
950,2853,968,0.73
951,1204,109,0.91
952,2836,53,0.54
953,1194,84,0.57
954,395,936,0.89
955,2579,139,0.5
956,2474,653,0.88
957,2167,606,0.64
958,40,901,0.5
959,1887,776,0.8
960,572,853,0.8
961,602,136,0.58
962,404,140,0.93
963,1768,300,0.85
964,2383,778,0.69
965,2024,67,0.61
966,816,447,0.58
967,2237,243,0.54
968,602,251,0.66
969,1067,721,0.54
970,2006,58,0.52
971,1975,413,0.76
972,2724,254,0.81
973,963,336,0.62
974,1929,540,0.98
975,1592,632,0.86
976,2986,422,0.96
977,778,219,0.93
978,1806,658,0.5
979,2148,616,0.89
980,1422,675,0.54
981,115,954,0.67
982,365,800,0.87
983,2461,693,0.74
984,2618,70,0.76
985,2078,318,0.69
986,1892,605,0.79
987,1032,531,0.86
988,2712,425,0.72
989,2517,871,0.58
990,426,432,0.53
991,663,370,0.59
992,803,478,0.91
993,2947,237,0.91
994,956,865,0.7
995,767,312,0.92
996,2215,149,0.85
997,720,572,0.78
998,2020,836,0.88
999,992,817,0.81
1000,330,554,0.74
1001,1050,668,0.65
1002,867,347,0.65
1003,268,628,0.94
1004,587,780,0.91
1005,2884,655,0.87
1006,990,883,0.88
1007,1638,749,0.61
1008,1462,174,0.61
1009,1192,648,0.87
1010,2484,610,0.84
1011,468,281,0.61
1012,2254,757,0.79
1013,141,79,0.85
1014,2641,359,0.96
1015,1044,138,0.59
1016,1591,846,0.7
1017,1548,992,0.64
1018,2251,845,0.66
1019,2192,402,0.8
1020,1490,626,0.83
1021,1193,259,0.87
1022,2189,85,0.62
1023,1404,440,0.86
1024,2226,596,0.67
1025,1138,500,0.83
1026,2192,738,0.94
1027,2388,136,0.82
1028,318,754,0.84
1029,2411,525,0.96
1030,2818,774,0.51
1031,2228,162,0.56
1032,2134,247,0.75
1033,301,493,0.94
1034,761,920,0.92
1035,1405,425,0.77
1036,644,124,0.86
1037,1491,485,0.95
1038,2764,348,0.74
1039,1459,519,0.72
1040,1562,149,0.77
1041,343,978,0.82
1042,342,273,0.56
1043,311,627,0.58
1044,2539,533,0.94
1045,2680,203,0.74
1046,1057,534,0.87
1047,913,403,0.95
1048,669,403,0.54
1049,2629,422,0.69
1050,2756,922,0.51
1051,2389,405,0.85
1052,1678,250,0.64
1053,711,971,0.95
1054,1365,217,0.65
1055,2032,460,0.87
1056,1133,757,0.9
1057,124,289,0.67
1058,1631,962,0.87
1059,577,664,0.65
1060,1570,114,0.75
1061,1261,640,0.86
1062,1817,900,0.82
1063,344,348,0.69
1064,2849,899,0.83
1065,1862,916,0.85
1066,2127,405,0.67
1067,210,234,0.98
1068,2410,543,0.79
1069,1542,469,0.57
1070,2031,832,0.89
1071,531,962,0.79
1072,1620,981,0.95
1073,2924,689,0.69
1074,947,928,0.77
1075,2337,733,0.73
1076,2979,732,0.95
1077,1375,724,0.53
1078,2134,404,0.87
1079,2298,581,0.85
1080,237,277,0.92
1081,1816,507,0.89
1082,1941,521,0.6
1083,2248,572,0.65
1084,412,481,0.68
1085,1333,802,0.9
1086,2724,383,0.72
1087,1884,938,0.71
1088,453,834,0.82
1089,504,870,0.86
1090,2360,285,0.59
1091,836,547,0.56
1092,517,246,0.7
1093,2132,887,0.71
1094,1128,220,0.91
1095,2456,81,0.7
1096,645,924,0.61
1097,2576,950,0.7
1098,897,609,0.69
1099,1765,327,0.85
1100,859,488,0.6
1101,1605,141,0.5
1102,1921,768,0.97
1103,2733,501,0.8
1104,2542,178,0.59
1105,677,683,0.51
1106,1607,739,0.59
1107,1269,641,0.63
1108,170,369,0.98
1109,2432,424,0.57
1110,2682,837,0.91
1111,1263,4,0.71
1112,2709,31,0.67
1113,45,979,0.66
1114,1989,362,0.89
1115,1162,183,0.63
1116,1522,203,0.65
1117,1495,259,0.5
1118,502,118,0.83
1119,796,713,0.65
1120,1057,157,0.89
1121,2940,615,0.91
1122,1324,154,0.88
1123,31,58,0.92
1124,1783,465,0.61
1125,2569,382,0.89
1126,978,89,0.81
1127,608,126,0.66
1128,2844,996,0.62
1129,2205,370,0.65
1130,1999,78,0.5
1131,298,240,0.71
1132,1042,132,0.6
1133,83,769,0.87
1134,1888,235,0.8
1135,1215,518,0.53
1136,189,895,0.84
1137,2677,204,0.94
1138,227,991,0.58
1139,2741,279,0.88
1140,2888,635,0.75
1141,1914,873,0.96
1142,2758,171,0.52
1143,2883,744,0.53
1144,2005,628,0.9
1145,866,470,0.65
1146,964,438,0.61
1147,318,224,0.92
1148,2038,424,0.86
1149,1852,788,0.98
1150,1203,432,0.76
1151,740,659,0.81
1152,1538,829,0.57
1153,1443,700,0.64
1154,2422,545,0.63
1155,1918,639,0.88
1156,314,145,0.79
1157,1137,949,0.68
1158,44,907,0.9
1159,52,646,0.91
1160,954,186,0.86
1161,1163,119,0.67
1162,497,133,0.92
1163,1900,176,0.83
1164,2695,829,0.95
1165,1453,95,0.59
1166,837,176,0.79
1167,1301,987,0.74
1168,2526,950,0.84
1169,1143,891,0.79
1170,433,33,0.6
1171,2023,622,0.91
1172,2030,255,0.87
1173,2700,743,0.68
1174,1435,387,0.78
1175,2914,699,0.89
1176,4,676,0.54
1177,2659,15,0.74
1178,2747,612,0.68
1179,2940,3,0.54
1180,2146,88,0.57
1181,2974,514,0.87
1182,1968,861,0.85
1183,2662,885,0.71
1184,2856,456,0.98
1185,392,438,0.73
1186,321,560,0.95
1187,1308,331,0.72
1188,1267,195,0.85
1189,712,662,0.85
1190,1121,456,0.9
1191,1998,103,0.53
1192,189,936,0.66
1193,548,247,0.66
1194,2326,290,0.56
1195,1649,794,0.73
1196,2061,568,0.73
1197,1926,452,0.91
1198,1928,967,0.75
1199,2379,746,0.72
1200,1223,939,0.51
1201,1017,329,0.75
1202,1804,800,0.57
1203,2158,463,0.71
1204,808,166,0.74
1205,1342,151,0.61
1206,2501,661,0.7
1207,2488,233,0.8
1208,1818,255,0.72
1209,281,299,0.71
1210,1883,722,0.65
1211,1085,418,0.8
1212,446,217,0.91
1213,409,674,0.71
1214,2429,112,0.72
1215,1009,687,0.84
1216,820,349,0.71
1217,342,418,0.66
1218,280,353,0.74
1219,1083,653,0.94
1220,2971,423,0.56
1221,2809,547,0.95
1222,2003,560,0.68
1223,1974,850,0.84
1224,1920,410,0.72
1225,1422,469,0.86
1226,2854,778,0.79
1227,983,610,0.87
1228,463,166,0.76
1229,836,809,0.86
1230,353,958,0.69
1231,2871,223,0.7
1232,164,847,0.63
1233,853,133,0.83
1234,25,270,0.88
1235,868,640,0.63
1236,2658,83,0.81
1237,185,297,0.59
1238,2674,489,0.85
1239,2428,35,0.66
1240,767,257,0.69
1241,1091,597,0.6
1242,2126,868,0.75
1243,250,930,0.55
1244,2087,575,0.54
1245,1676,382,0.85
1246,1981,414,0.61
1247,2718,935,0.59
1248,2975,586,0.8
1249,694,339,0.56
1250,2525,311,0.56
1251,1707,130,0.54
1252,2295,878,0.91
1253,1926,549,0.94
1254,1804,912,0.77
1255,991,638,0.68
1256,1299,148,0.7
1257,783,617,0.9
1258,10,175,0.96
1259,707,965,0.89
1260,420,335,0.72
1261,682,708,0.68
1262,1259,852,0.52
1263,1450,489,0.64
1264,2794,438,0.84
1265,2670,349,0.72
1266,1348,8,0.55
1267,1446,697,0.7
1268,2419,522,0.66
1269,2884,981,0.89
1270,1816,493,0.62
1271,1279,619,0.91
1272,951,369,0.58
1273,2239,197,0.83
1274,52,636,0.7
1275,8,299,0.93
1276,2719,89,0.75
1277,2594,891,0.87
1278,397,697,0.68
1279,1366,910,0.57
1280,1790,395,0.57
